,ID,ability_IAT,moral_IAT
235,phase_015_subj_39,0.8,0.588
236,phase_015_subj_4,0.488,0.531
237,phase_015_subj_40,0.597,0.489
238,phase_015_subj_42,0.341,0.112
239,phase_015_subj_43,0.155,0.202
240,phase_015_subj_47,0.056,0.265
241,phase_015_subj_48,0.189,0.957
242,phase_015_subj_49,0.886,0.759
243,phase_015_subj_5,0.345,0.537
244,phase_015_subj_6,0.253,0.738
245,phase_015_subj_7,0.386,0.423
246,phase_015_subj_9,1.001,0.422
247,phase_016_subj_1,0.265,0.733
248,phase_016_subj_10,0.088,0.504
249,phase_016_subj_11,-0.155,0.389
250,phase_016_subj_13,0.324,0.704
251,phase_016_subj_16,0.253,0.034
252,phase_016_subj_2,0.338,0.131
253,phase_016_subj_20,-0.429,-0.209
254,phase_016_subj_24,0.268,0.13
255,phase_016_subj_25,0.172,0.207
256,phase_016_subj_29,0.263,0.542
257,phase_016_subj_30,0.745,0.57
258,phase_016_subj_31,-0.066,-0.192
259,phase_016_subj_32,0.329,0.353
260,phase_016_subj_33,0.576,0.717
261,phase_016_subj_34,0.399,0.68
262,phase_016_subj_35,0.012,0.966
263,phase_016_subj_36,0.564,0.072
264,phase_016_subj_38,-0.182,1.093
265,phase_016_subj_4,0.999,0.123
266,phase_016_subj_40,0.545,0.617
267,phase_016_subj_43,-0.155,0.723
268,phase_016_subj_44,0.635,0.554
269,phase_016_subj_45,0.775,0.463
270,phase_016_subj_48,-0.537,-0.585
271,phase_016_subj_49,1.258,0.503
272,phase_016_subj_5,0.52,0.411
273,phase_016_subj_50,-0.202,0.158
274,phase_016_subj_51,0.367,0.448
275,phase_016_subj_52,0.225,0.218
276,phase_016_subj_53,0.224,-0.068
277,phase_016_subj_54,0.918,-0.146
278,phase_016_subj_55,0.229,0.457
279,phase_016_subj_56,0.628,1.112
280,phase_016_subj_58,0.429,0.871
281,phase_016_subj_59,-0.258,0.319
282,phase_016_subj_6,0.357,0.452
283,phase_016_subj_60,0.168,0.645
284,phase_016_subj_66,0.322,0.794
285,phase_016_subj_68,0.666,0.581
286,phase_016_subj_69,0.398,0.534
287,phase_016_subj_71,0.406,0.949
288,phase_016_subj_73,-0.068,0.808
289,phase_016_subj_74,0.146,0.283
290,phase_016_subj_79,0.533,0.604
291,phase_016_subj_8,-0.055,0.209
292,phase_016_subj_81,0.529,0.704
293,phase_016_subj_82,0.765,0.746
294,phase_016_subj_84,0.943,0.905
295,phase_016_subj_85,0.55,0.589
296,phase_016_subj_86,0.86,1.187
297,phase_016_subj_9,0.259,-0.015
298,phase_017_subj_1,0.167,-0.302
299,phase_017_subj_10,0.255,0.332
300,phase_017_subj_100,0.293,0.417
301,phase_017_subj_101,0.524,0.587
302,phase_017_subj_102,0.382,0.448
303,phase_017_subj_103,0.176,0.154
304,phase_017_subj_104,0.108,-0.105
305,phase_017_subj_106,-0.16,0.105
306,phase_017_subj_108,0.774,0.365
307,phase_017_subj_111,1.039,0.894
308,phase_017_subj_113,0.537,0.273
309,phase_017_subj_114,0.619,0.728
310,phase_017_subj_115,0.175,0.461
311,phase_017_subj_117,0.282,0.251
312,phase_017_subj_120,0.268,0.122
313,phase_017_subj_122,0.551,0.249
314,phase_017_subj_123,0.623,0.071
315,phase_017_subj_124,0.838,0.696
316,phase_017_subj_125,0.334,0.239
317,phase_017_subj_127,0.444,-0.208
318,phase_017_subj_128,0.186,0.035
319,phase_017_subj_130,0.442,0.567
320,phase_017_subj_132,0.645,0.806
321,phase_017_subj_133,0.769,0.364
322,phase_017_subj_134,1.234,1.034
323,phase_017_subj_135,0.269,0.523
324,phase_017_subj_136,-0.23,0.753
325,phase_017_subj_14,0.122,0.32
326,phase_017_subj_141,-0.476,-0.155
327,phase_017_subj_142,0.246,0.066
328,phase_017_subj_144,0.037,0.845
329,phase_017_subj_145,-0.164,0.602
330,phase_017_subj_149,0.673,0.511
331,phase_017_subj_152,0.783,-0.466
332,phase_017_subj_153,1.136,0.912
333,phase_017_subj_154,0.57,0.263
334,phase_017_subj_156,-0.146,0.495
335,phase_017_subj_157,-0.067,0.176
336,phase_017_subj_158,0.7,0.742
337,phase_017_subj_159,0.043,-0.246
338,phase_017_subj_16,0.349,0.386
339,phase_017_subj_160,0.463,0.471
340,phase_017_subj_161,-0.16,-0.407
341,phase_017_subj_163,1.109,0.681
342,phase_017_subj_167,0.561,1.067
343,phase_017_subj_168,0.648,0.869
344,phase_017_subj_19,0.554,0.707
345,phase_017_subj_2,1.017,0.713
346,phase_017_subj_21,0.62,0.469
347,phase_017_subj_22,1.567,1.293
348,phase_017_subj_23,0.006,0.044
349,phase_017_subj_24,0.586,0.4
350,phase_017_subj_27,0.508,0.267
351,phase_017_subj_29,0.564,0.788
352,phase_017_subj_3,0.904,0.907
353,phase_017_subj_30,-0.102,0.316
354,phase_017_subj_31,0.233,0.764
355,phase_017_subj_32,0.715,1.177
356,phase_017_subj_33,0.178,0.416
357,phase_017_subj_34,0.349,0.349
358,phase_017_subj_36,-0.361,0.294
359,phase_017_subj_38,0.195,0.296
360,phase_017_subj_4,0.092,0.064
361,phase_017_subj_40,-0.063,-0.141
362,phase_017_subj_41,1.029,0.47
363,phase_017_subj_43,0.536,0.443
364,phase_017_subj_46,-0.214,0.139
365,phase_017_subj_47,0.992,0.789
366,phase_017_subj_49,0.639,0.334
367,phase_017_subj_5,0.239,0.422
368,phase_017_subj_51,-0.085,0.558
369,phase_017_subj_53,0.791,0.315
370,phase_017_subj_54,0.254,0.759
371,phase_017_subj_56,0.285,0.478
372,phase_017_subj_58,-0.066,0.56
373,phase_017_subj_6,-0.219,-1.121
374,phase_017_subj_60,0.799,0.638
375,phase_017_subj_61,0.522,0.482
376,phase_017_subj_62,0.263,0.127
377,phase_017_subj_63,0.3,-0.124
378,phase_017_subj_67,0.722,0.998
379,phase_017_subj_68,0.294,0.433
380,phase_017_subj_69,0.11,0.645
381,phase_017_subj_7,0.111,0.443
382,phase_017_subj_70,0.517,0.433
383,phase_017_subj_71,0.436,0.287
384,phase_017_subj_75,0.196,0.159
385,phase_017_subj_77,-0.184,0.634
386,phase_017_subj_78,0.114,0.755
387,phase_017_subj_79,0.645,0.71
388,phase_017_subj_8,0.782,0.78
389,phase_017_subj_82,-0.168,0.561
390,phase_017_subj_84,0.832,1.346
391,phase_017_subj_86,0.21,-0.54
392,phase_017_subj_87,0.558,1.02
393,phase_017_subj_89,0.345,0.468
394,phase_017_subj_90,0.128,0.539
395,phase_017_subj_91,0.093,-0.044
396,phase_017_subj_93,0.423,0.237
397,phase_017_subj_94,0.159,0.616
398,phase_017_subj_95,0.346,0.203
399,phase_017_subj_97,-0.435,-0.446
400,phase_017_subj_99,0.846,1.243
401,phase_018_subj_101,0.247,0.384
402,phase_018_subj_103,1.293,1.027
403,phase_018_subj_104,-0.58,0.023
404,phase_018_subj_11,0.769,0.822
405,phase_018_subj_13,0.43,0.792
406,phase_018_subj_15,0.006,0.701
407,phase_018_subj_16,0.643,0.377
408,phase_018_subj_17,0.376,0.467
