Num,Gender,Age,Grade,Major,Only child,Residence,Number of online groups,Internet age,Daily online duration,Number of friends met online,SES7,SES3,SES9R,SES4,SES5R,SES10,SES1,SES8R,SES6R,SES2R,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,PANAS1,PANAS2,PANAS3,PANAS4,PANAS5,PANAS6,PANAS7,PANAS8,PANAS9,PANAS10,PANAS11,PANAS12,PANAS13,PANAS14,PANAS15,PANAS16,PANAS17,PANAS18,CD-RISC
77,1,22,4,2,1,2,2,2,2,2,3,3,1,4,2,3,3,1,2,1,6,6,5,6,5,4,5,4,4,4,4,5,5,5,4,3,4,3,4,3,4,4,4,85
78,1,22,4,1,1,2,1,4,2,2,4,4,4,4,2,4,3,1,4,3,2,3,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,64
79,1,22,4,2,2,2,3,4,2,3,2,4,4,2,3,3,3,1,2,3,5,4,5,7,5,1,2,1,3,1,3,2,3,2,5,4,4,1,1,3,1,3,4,63
80,1,22,4,2,1,1,1,4,2,4,4,3,4,4,4,3,3,2,4,4,5,4,5,4,3,1,4,1,3,1,4,1,3,1,3,1,3,1,3,4,1,1,4,70
81,1,22,4,1,1,1,2,3,1,2,3,3,3,3,1,3,3,2,3,3,3,4,2,5,4,1,2,1,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,58
82,1,22,4,2,1,1,1,4,2,2,4,4,3,3,2,3,3,2,3,3,4,4,4,1,1,1,1,1,1,1,3,1,3,,1,2,3,1,2,1,1,2,1,51
83,1,20,4,1,1,1,4,4,2,3,3,3,4,3,4,3,3,2,4,4,4,4,4,1,1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,90
84,1,22,4,1,2,2,1,2,4,3,4,4,4,4,4,4,4,1,4,4,6,4,5,5,5,1,5,1,4,1,4,2,4,2,4,1,5,1,5,4,4,1,5,67
85,1,22,4,2,2,2,4,2,4,2,4,4,4,4,3,4,4,1,3,3,6,6,7,5,3,2,4,2,5,2,4,1,4,2,4,1,5,2,4,4,1,2,4,81
86,1,22,4,1,1,2,3,4,2,2,3,3,2,3,2,3,3,2,2,2,5,5,3,5,5,2,3,2,2,3,2,4,2,5,1,2,3,4,1,3,4,2,3,56
87,1,23,4,2,1,2,1,4,2,1,3,2,3,3,2,3,3,2,3,3,4,4,4,4,4,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,58
88,1,18,1,5,1,2,4,4,1,5,3,3,4,3,3,4,3,2,4,4,4,2,6,3,6,1,3,1,4,1,4,1,3,2,3,1,4,1,1,2,1,1,3,73
89,1,22,4,2,1,2,3,4,2,4,3,3,4,3,2,3,3,1,3,3,5,4,4,4,3,1,2,1,3,1,4,1,4,1,4,1,4,1,4,4,1,1,4,67
90,1,22,4,2,2,2,1,2,3,2,4,4,4,4,3,3,2,2,1,2,7,7,7,6,3,3,2,2,3,2,3,4,4,4,3,3,2,3,2,2,2,2,3,67
91,1,20,2,1,1,2,2,3,2,2,3,3,3,3,2,3,3,2,3,3,4,1,7,1,7,1,2,3,2,3,2,3,3,2,2,3,3,1,3,5,1,2,4,42
92,1,19,2,2,1,1,1,4,4,4,2,1,2,2,4,4,2,2,4,3,4,4,4,4,3,2,3,2,3,2,3,4,3,2,1,3,4,2,2,4,3,2,2,65
93,1,20,2,2,2,1,3,4,1,5,3,4,4,4,3,4,4,1,3,3,7,3,4,5,4,1,3,1,3,1,4,2,4,3,3,3,4,2,4,5,3,1,5,90
94,1,20,2,2,2,2,1,4,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,2,2,2,3,2,3,2,3,3,3,2,3,2,2,3,1,1,3,66
95,1,20,2,1,2,2,1,4,3,2,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,3,3,4,3,4,3,4,4,5,3,4,3,5,5,2,4,4,60
96,1,22,2,2,1,2,1,4,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,1,1,3,1,1,1,4,1,2,1,1,1,3,1,1,1,1,1,5,1,56
97,1,21,2,2,1,2,1,4,3,2,4,4,2,3,2,4,2,1,2,2,4,4,5,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,2,4,3,3,4,62
98,2,19,5,1,2,2,3,4,1,4,3,3,4,3,2,3,3,2,2,2,4,4,5,4,4,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,63
99,1,20,2,5,1,1,1,4,1,2,3,3,3,3,2,2,3,2,3,2,4,5,5,5,4,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,62
100,2,21,2,5,1,1,2,4,1,1,3,3,3,3,1,3,2,2,2,2,4,4,5,5,5,1,2,1,1,1,2,3,2,2,2,1,1,1,1,2,2,2,1,63
101,1,19,2,5,2,2,1,4,4,2,3,3,2,3,2,3,2,2,3,4,4,5,5,4,3,3,3,1,1,1,2,2,3,1,2,2,2,1,2,2,2,1,2,67
102,2,19,2,5,2,2,1,4,1,2,3,3,2,3,2,2,2,2,3,4,3,3,3,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1,3,1,67
103,2,22,2,5,2,1,2,4,1,5,3,3,4,3,3,3,3,2,3,2,5,6,6,4,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,56
104,2,20,2,2,2,2,1,4,1,1,2,2,2,3,2,2,2,1,2,3,4,4,3,5,5,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,66
105,2,19,2,2,2,2,1,4,3,2,3,3,3,3,2,4,3,1,2,2,5,6,4,6,5,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72
106,1,20,2,2,2,2,1,4,1,2,3,3,3,4,2,3,4,2,3,2,4,4,5,4,4,1,1,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,68
107,2,19,2,5,1,2,1,4,1,3,3,2,4,2,2,4,3,3,3,2,4,5,4,5,5,3,3,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,68
108,2,19,2,5,1,2,1,4,2,1,3,3,3,3,2,4,3,2,2,2,5,5,5,1,5,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,69
109,2,19,2,5,2,2,1,3,2,2,3,3,4,3,2,3,2,2,2,2,5,5,5,4,6,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,68
110,1,22,2,5,1,1,1,4,1,2,3,2,4,3,2,3,3,2,3,2,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,67
111,2,20,2,5,1,2,3,4,1,2,3,3,2,3,2,2,2,2,2,2,4,4,3,3,3,1,4,1,1,4,3,3,3,4,3,4,3,3,2,3,4,3,3,35
112,1,21,1,5,1,2,4,4,2,3,3,3,3,3,2,3,2,2,3,3,3,2,1,1,1,3,4,3,3,5,3,3,3,3,3,2,3,2,2,3,2,2,2,62
113,1,19,2,5,2,2,3,2,2,2,4,3,4,4,4,3,4,1,4,4,7,4,7,7,4,2,5,2,4,2,3,3,3,2,3,2,3,2,4,4,2,3,4,85
114,1,19,1,5,2,2,4,4,2,2,3,3,4,3,3,3,2,2,3,4,3,4,6,7,4,1,5,1,3,4,3,3,3,2,3,4,3,2,1,2,3,4,2,66
115,1,18,2,5,1,1,1,4,3,1,3,3,3,3,2,3,3,2,3,4,4,4,4,4,1,1,2,1,1,1,3,1,2,2,1,1,3,1,3,1,1,1,1,70
116,2,18,1,2,2,2,1,4,1,2,2,3,3,3,2,3,3,2,3,3,4,4,4,4,2,1,1,1,1,1,2,1,2,1,2,1,3,1,2,2,1,1,2,55
117,2,19,1,2,2,1,3,4,2,3,2,2,3,3,2,3,3,2,4,4,4,4,5,5,4,2,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,56
118,1,21,3,2,1,1,1,2,2,3,3,3,2,3,2,3,3,2,2,4,5,5,5,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,71
119,1,19,1,1,1,1,4,4,1,5,2,2,3,2,3,2,2,2,2,1,5,5,6,6,6,3,3,3,3,3,3,4,2,2,5,4,4,2,3,5,4,1,3,66
120,1,20,1,2,1,1,3,4,2,2,2,2,1,4,2,3,1,4,1,3,1,6,3,4,5,2,2,1,3,3,4,2,2,2,4,3,3,2,4,3,2,3,4,48
121,1,18,1,2,2,2,3,4,1,3,3,3,4,3,2,3,2,2,3,4,2,1,2,1,3,1,2,1,2,3,3,2,3,3,3,4,3,3,1,1,3,3,4,61
122,1,19,1,2,2,1,3,2,2,2,2,2,4,2,3,2,1,3,3,4,5,6,5,4,5,3,3,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,3,56
123,1,19,1,2,1,1,3,4,3,3,3,3,3,3,3,3,3,2,3,3,5,3,6,4,4,2,4,2,4,3,4,3,5,3,3,3,3,2,4,4,1,2,5,68
124,1,19,1,2,1,2,3,4,1,2,3,3,4,3,3,4,4,1,4,4,6,5,6,5,1,1,2,2,2,2,4,2,4,2,2,2,2,2,2,4,2,2,4,79
125,2,19,1,3,2,2,4,3,1,2,3,3,3,2,2,3,2,2,2,2,3,3,4,2,2,1,5,1,2,2,3,2,3,3,3,2,3,2,3,3,2,2,3,63
126,2,20,1,5,2,1,4,4,1,2,3,3,2,2,3,2,2,1,3,3,5,5,2,1,1,1,5,1,2,1,2,5,2,2,2,1,3,3,3,3,2,5,2,57
127,1,19,1,2,1,1,3,4,2,2,3,3,3,3,3,3,3,2,3,3,5,5,7,7,5,1,3,1,3,1,3,1,3,2,3,1,3,1,2,3,1,1,3,83
128,1,18,1,2,1,1,1,4,2,2,2,3,3,4,1,1,3,3,1,2,5,3,4,3,2,2,3,3,1,4,3,2,1,5,4,4,3,1,2,4,5,3,2,51
129,1,18,1,2,1,2,1,3,2,4,3,3,3,3,2,3,3,2,3,3,1,2,1,3,4,1,2,1,1,2,3,4,5,1,3,4,5,1,3,4,2,3,4,50
130,1,18,1,2,2,2,4,4,1,5,2,1,2,1,2,2,4,3,3,4,2,4,6,6,4,2,3,4,4,1,3,4,4,3,2,5,3,4,5,5,2,4,3,65
131,1,19,1,1,1,2,1,2,1,4,3,3,2,2,2,3,4,2,2,4,6,6,5,4,4,1,1,2,2,1,4,1,2,3,2,1,1,1,2,5,1,5,5,64
132,1,19,1,1,1,1,1,4,2,5,3,3,3,3,2,4,4,1,4,4,5,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,71
133,1,19,1,2,2,2,1,4,3,3,3,3,4,3,3,4,3,2,4,4,4,4,6,4,3,3,4,1,5,2,3,1,3,2,4,3,3,3,3,4,1,1,4,78
134,1,20,1,2,1,2,3,3,2,3,4,4,3,4,3,3,2,1,3,4,2,3,3,3,1,3,4,2,4,3,5,3,4,4,5,3,4,3,3,5,5,5,4,82
135,1,21,1,2,1,2,3,4,1,3,2,2,3,2,3,2,2,3,3,3,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,39
136,1,22,1,2,2,2,3,4,1,2,4,2,2,2,2,2,2,2,3,3,3,5,4,4,4,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,3,1,35
137,1,20,1,2,1,1,3,4,3,4,3,3,2,3,3,2,2,3,3,3,2,4,2,2,2,3,3,1,3,3,3,1,2,2,2,3,2,3,2,2,3,3,2,59
138,1,20,1,2,1,1,3,4,2,2,3,3,3,3,3,3,3,2,3,4,4,4,4,3,2,3,3,2,4,2,4,2,5,2,3,2,3,2,3,4,1,2,3,60
139,2,20,2,5,1,1,1,4,1,1,2,2,2,3,2,2,4,2,3,1,6,6,6,3,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,63
140,1,19,2,5,2,1,3,4,3,2,3,3,3,3,3,3,3,2,3,3,2,3,3,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,53
141,1,20,2,5,1,1,3,4,2,2,3,3,3,3,2,3,2,1,3,3,1,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,63
142,2,21,2,5,1,2,1,,3,2,3,2,4,2,3,3,3,2,3,2,3,4,4,4,4,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,63
143,1,20,2,5,1,2,1,4,2,2,3,3,3,3,2,3,2,2,2,2,3,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,60
144,1,21,2,5,2,2,4,3,1,3,3,3,3,3,3,3,2,2,3,2,4,4,4,4,4,1,1,1,1,1,3,1,3,1,1,1,3,1,1,1,1,1,1,74
145,2,21,2,3,1,2,1,4,1,2,3,3,4,3,4,3,3,2,4,4,7,7,7,7,4,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,1,1,5,77
146,2,20,2,3,2,2,4,4,1,3,3,3,3,3,2,3,2,2,3,2,4,4,4,4,1,3,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,2,2,57
147,2,22,2,3,1,2,2,1,4,3,3,2,3,2,2,3,3,3,3,2,4,4,7,4,4,3,3,2,1,1,2,1,2,4,3,3,3,2,2,2,2,2,1,48
148,2,20,2,3,2,1,1,4,1,1,1,2,3,1,4,2,3,3,3,4,4,4,4,4,4,2,2,3,3,3,4,2,4,4,3,2,3,3,1,3,5,5,1,52
149,2,20,2,3,1,1,1,4,3,2,4,4,4,4,4,4,4,1,4,4,7,7,7,7,4,1,5,1,3,1,4,1,5,1,5,5,5,1,3,5,1,1,5,75
150,2,20,2,3,2,2,3,4,2,2,4,4,3,3,3,4,4,1,3,3,4,3,4,3,2,1,1,1,3,1,3,1,3,1,3,1,3,1,3,4,2,1,3,65
