"","ID","ability_SRET_EW","moral_SRET_EW"
"252","phase_016_subj_2",6,6
"253","phase_016_subj_20",7,10
"254","phase_016_subj_24",9,10
"255","phase_016_subj_25",-5,7
"256","phase_016_subj_29",5,10
"257","phase_016_subj_30",4,5
"258","phase_016_subj_31",9,10
"259","phase_016_subj_32",8,8
"260","phase_016_subj_33",8,10
"261","phase_016_subj_34",4,10
"262","phase_016_subj_35",-4,-7
"263","phase_016_subj_36",10,9
"264","phase_016_subj_38",9,7
"265","phase_016_subj_4",8,10
"266","phase_016_subj_40",9,9
"267","phase_016_subj_43",8,9
"268","phase_016_subj_44",-3,1
"269","phase_016_subj_45",9,9
"270","phase_016_subj_48",8,10
"271","phase_016_subj_49",6,10
"272","phase_016_subj_5",7,10
"273","phase_016_subj_50",9,9
"274","phase_016_subj_51",5,8
"275","phase_016_subj_52",8,9
"276","phase_016_subj_53",-5,5
"277","phase_016_subj_54",2,5
"278","phase_016_subj_55",8,9
"279","phase_016_subj_56",-1,6
"280","phase_016_subj_58",6,6
"281","phase_016_subj_59",8,10
"282","phase_016_subj_6",7,10
"283","phase_016_subj_60",10,9
"284","phase_016_subj_66",6,8
"285","phase_016_subj_68",9,10
"286","phase_016_subj_69",7,7
"287","phase_016_subj_71",7,10
"288","phase_016_subj_73",10,10
"289","phase_016_subj_74",9,10
"290","phase_016_subj_79",7,9
"291","phase_016_subj_8",10,9
"292","phase_016_subj_81",2,7
"293","phase_016_subj_82",7,10
"294","phase_016_subj_84",9,10
"295","phase_016_subj_85",6,4
"296","phase_016_subj_86",8,10
"297","phase_016_subj_9",6,8
"298","phase_017_subj_1",8,10
"299","phase_017_subj_10",7,7
"300","phase_017_subj_100",8,9
"301","phase_017_subj_101",0,6
"302","phase_017_subj_102",7,7
"303","phase_017_subj_103",8,10
"304","phase_017_subj_104",1,7
"305","phase_017_subj_106",1,9
"306","phase_017_subj_108",6,9
"307","phase_017_subj_111",2,5
"308","phase_017_subj_113",8,9
"309","phase_017_subj_114",3,8
"310","phase_017_subj_115",3,7
"311","phase_017_subj_117",6,9
"312","phase_017_subj_120",2,5
"313","phase_017_subj_122",8,10
"314","phase_017_subj_123",8,9
"315","phase_017_subj_124",8,9
"316","phase_017_subj_125",-2,10
"317","phase_017_subj_127",-1,8
"318","phase_017_subj_128",8,9
"319","phase_017_subj_130",-2,-5
"320","phase_017_subj_132",10,9
"321","phase_017_subj_133",10,10
"322","phase_017_subj_134",10,10
"323","phase_017_subj_135",9,9
"324","phase_017_subj_136",7,10
"325","phase_017_subj_14",7,9
"326","phase_017_subj_141",8,8
"327","phase_017_subj_142",9,10
"328","phase_017_subj_144",8,10
"329","phase_017_subj_145",2,7
"330","phase_017_subj_149",10,8
"331","phase_017_subj_152",5,7
"332","phase_017_subj_153",6,10
"333","phase_017_subj_154",4,9
"334","phase_017_subj_156",3,9
"335","phase_017_subj_157",8,10
"336","phase_017_subj_158",7,7
"337","phase_017_subj_159",6,6
"338","phase_017_subj_16",9,10
"339","phase_017_subj_160",8,10
"340","phase_017_subj_161",-3,6
"341","phase_017_subj_163",6,9
"342","phase_017_subj_167",-5,-10
"343","phase_017_subj_168",10,10
"344","phase_017_subj_19",4,7
"345","phase_017_subj_2",5,10
"346","phase_017_subj_21",10,10
"347","phase_017_subj_22",9,10
"348","phase_017_subj_23",6,9
"349","phase_017_subj_24",7,10
"350","phase_017_subj_27",6,10
"351","phase_017_subj_29",4,8
"352","phase_017_subj_3",-6,7
"353","phase_017_subj_30",10,10
"354","phase_017_subj_31",1,8
"355","phase_017_subj_32",10,10
"356","phase_017_subj_33",9,10
"357","phase_017_subj_34",8,10
"358","phase_017_subj_36",9,9
"359","phase_017_subj_38",3,6
"360","phase_017_subj_4",5,10
"361","phase_017_subj_40",-3,8
"362","phase_017_subj_41",9,8
"363","phase_017_subj_43",6,6
"364","phase_017_subj_46",3,8
"365","phase_017_subj_47",0,9
"366","phase_017_subj_49",10,9
"367","phase_017_subj_5",9,8
"368","phase_017_subj_51",8,10
"369","phase_017_subj_53",8,10
"370","phase_017_subj_54",7,10
"371","phase_017_subj_56",10,10
"372","phase_017_subj_58",1,10
"373","phase_017_subj_6",0,9
"374","phase_017_subj_60",6,9
"375","phase_017_subj_61",-1,9
"376","phase_017_subj_62",8,9
"377","phase_017_subj_63",9,10
"378","phase_017_subj_67",4,7
"379","phase_017_subj_68",7,8
"380","phase_017_subj_69",6,9
"381","phase_017_subj_7",9,10
"382","phase_017_subj_70",6,10
"383","phase_017_subj_71",8,6
"384","phase_017_subj_75",8,10
"385","phase_017_subj_77",6,10
"386","phase_017_subj_78",5,9
"387","phase_017_subj_79",7,10
"388","phase_017_subj_8",8,8
"389","phase_017_subj_82",2,6
"390","phase_017_subj_84",7,9
"391","phase_017_subj_86",6,10
"392","phase_017_subj_87",8,8
"393","phase_017_subj_89",8,10
"394","phase_017_subj_90",8,10
"395","phase_017_subj_91",6,10
"396","phase_017_subj_93",9,8
"397","phase_017_subj_94",8,9
"398","phase_017_subj_95",10,10
"399","phase_017_subj_97",8,10
"400","phase_017_subj_99",7,10
"401","phase_018_subj_101",9,10
"402","phase_018_subj_103",8,9
"403","phase_018_subj_104",8,10
"404","phase_018_subj_11",9,9
"405","phase_018_subj_13",8,10
"406","phase_018_subj_15",9,9
"407","phase_018_subj_16",8,9
"408","phase_018_subj_17",9,8
"409","phase_018_subj_21",9,9
"410","phase_018_subj_26",9,10
"411","phase_018_subj_28",9,8
"412","phase_018_subj_3",9,9
"413","phase_018_subj_33",8,7
"414","phase_018_subj_34",4,8
"415","phase_018_subj_36",0,9
"416","phase_018_subj_38",10,9
"417","phase_018_subj_4",6,8
"418","phase_018_subj_41",9,10
"419","phase_018_subj_42",8,9
"420","phase_018_subj_43",10,6
"421","phase_018_subj_44",10,8
"422","phase_018_subj_46",7,9
"423","phase_018_subj_47",7,8
"424","phase_018_subj_48",7,10
"425","phase_018_subj_5",8,10
"426","phase_018_subj_50",8,8
"427","phase_018_subj_51",9,9
"428","phase_018_subj_53",1,6
"429","phase_018_subj_54",1,1
"430","phase_018_subj_55",7,10
"431","phase_018_subj_56",3,9
"432","phase_018_subj_57",9,10
"433","phase_018_subj_59",4,9
"434","phase_018_subj_6",4,8
"435","phase_018_subj_60",2,7
"436","phase_018_subj_61",3,6
"437","phase_018_subj_62",-3,2
"438","phase_018_subj_65",9,10
"439","phase_018_subj_69",9,10
"440","phase_018_subj_70",8,8
"441","phase_018_subj_71",3,9
"442","phase_018_subj_72",7,8
"443","phase_018_subj_73",0,6
"444","phase_018_subj_74",6,6
"445","phase_018_subj_75",8,9
"446","phase_018_subj_76",7,8
"447","phase_018_subj_77",9,10
"448","phase_018_subj_78",7,10
"449","phase_018_subj_79",-1,4
"450","phase_018_subj_8",6,9
"451","phase_018_subj_80",-6,5
"452","phase_018_subj_81",9,10
"453","phase_018_subj_82",8,9
"454","phase_018_subj_86",2,8
"455","phase_018_subj_87",1,6
"456","phase_018_subj_88",7,8
"457","phase_018_subj_89",8,9
"458","phase_018_subj_9",8,9
"459","phase_018_subj_97",8,10
"460","phase_018_subj_98",-5,3
"461","phase_019_subj_10",8,10
"462","phase_019_subj_12",9,8
"463","phase_019_subj_13",6,10
"464","phase_019_subj_14",8,10
"465","phase_019_subj_15",7,9
"466","phase_019_subj_16",8,9
"467","phase_019_subj_18",5,10
"468","phase_019_subj_19",6,6
"469","phase_019_subj_2",0,4
"470","phase_019_subj_20",-3,8
"471","phase_019_subj_21",5,10
"472","phase_019_subj_22",9,10
"473","phase_019_subj_23",8,9
"474","phase_019_subj_25",8,10
"475","phase_019_subj_26",6,10
"476","phase_019_subj_27",8,9
"477","phase_019_subj_30",10,9
"478","phase_019_subj_31",7,10
"479","phase_019_subj_33",10,10
"480","phase_019_subj_34",7,10
"481","phase_019_subj_35",10,9
"482","phase_019_subj_39",-3,4
"483","phase_019_subj_4",7,8
"484","phase_019_subj_40",6,7
"485","phase_019_subj_41",9,8
"486","phase_019_subj_42",8,7
"487","phase_019_subj_43",9,10
"488","phase_019_subj_45",7,9
"489","phase_019_subj_46",8,9
"490","phase_019_subj_47",5,10
"491","phase_019_subj_48",8,9
"492","phase_019_subj_49",-5,5
"493","phase_019_subj_53",10,6
"494","phase_019_subj_54",10,9
"495","phase_019_subj_6",9,6
"496","phase_019_subj_8",9,10
"497","phase_019_subj_9",1,7
"498","phase_020_subj_1",8,10
"499","phase_020_subj_2",3,7
"500","phase_020_subj_3",4,10
"501","phase_020_subj_4",0,5
"502","phase_020_subj_5",6,9
"503","phase_020_subj_6",-4,5
