"","ID","ability_SRET_rt","moral_SRET_rt"
"253","phase_016_subj_20",60.9000000000001,157.3
"254","phase_016_subj_24",-92.3000000000001,41.6
"255","phase_016_subj_25",-142.1,104.3
"256","phase_016_subj_29",-24.6,100.2
"257","phase_016_subj_30",88.2,154.5
"258","phase_016_subj_31",36.6999999999999,33.9
"259","phase_016_subj_32",-24.1,84.6
"260","phase_016_subj_33",56.4,-34.5
"261","phase_016_subj_34",133.2,156.5
"262","phase_016_subj_35",10.9,-103.5
"263","phase_016_subj_36",129.7,173
"264","phase_016_subj_38",145.8,98
"265","phase_016_subj_4",119.9,139.6
"266","phase_016_subj_40",65.3555555555555,169
"267","phase_016_subj_43",84.1,125.2
"268","phase_016_subj_44",120.7,-133.8
"269","phase_016_subj_45",107.1,5.69999999999993
"270","phase_016_subj_48",-55.5,64.0999999999999
"271","phase_016_subj_49",59.4,22
"272","phase_016_subj_5",54.3,27.4
"273","phase_016_subj_50",103,74.7
"274","phase_016_subj_51",89.2,-157.1
"275","phase_016_subj_52",72.8,24
"276","phase_016_subj_53",-104.3,-222.4
"277","phase_016_subj_54",36.4000000000001,162.366666666667
"278","phase_016_subj_55",-26.5,-76.4
"279","phase_016_subj_56",-17.6999999999999,-93
"280","phase_016_subj_58",84.5,-55.3
"281","phase_016_subj_59",38.6,136.2
"282","phase_016_subj_6",122.2,-142.2
"283","phase_016_subj_60",-127.2,99.7
"284","phase_016_subj_66",-5.11111111111109,126.977777777778
"285","phase_016_subj_68",209.7,-11
"286","phase_016_subj_69",69.4000000000001,190.9
"287","phase_016_subj_71",-29.7,-9.30000000000007
"288","phase_016_subj_73",-71.9,-199.2
"289","phase_016_subj_74",-76.5,115.777777777778
"290","phase_016_subj_79",154.680555555556,-142.966666666667
"291","phase_016_subj_8",126,5.79999999999995
"292","phase_016_subj_81",69.4,-143.022222222222
"293","phase_016_subj_82",157.5,33.4
"294","phase_016_subj_84",1.09999999999991,40
"295","phase_016_subj_85",-213.6,-157.4
"296","phase_016_subj_86",210.7,170.4
"297","phase_016_subj_9",72.1999999999999,81
"298","phase_017_subj_1",215.6,32.2
"299","phase_017_subj_10",119.555555555556,43.4
"300","phase_017_subj_100",-2.10000000000002,16.9
"301","phase_017_subj_101",182.3,69.2
"302","phase_017_subj_102",25.3,70
"303","phase_017_subj_103",166,-5
"304","phase_017_subj_104",-90,-12
"305","phase_017_subj_106",-29.3000000000001,-26.5
"306","phase_017_subj_108",121.4,192.9
"307","phase_017_subj_111",27.2,-266.3
"308","phase_017_subj_113",151.2,125.5
"309","phase_017_subj_114",240.4,22.0666666666666
"310","phase_017_subj_115",85.1444444444445,-33.9
"311","phase_017_subj_117",268.3,28.5
"312","phase_017_subj_120",90.8000000000001,-59.4000000000001
"313","phase_017_subj_122",142.8,57
"314","phase_017_subj_123",139.4,-47.1
"315","phase_017_subj_124",-186.4,0.5
"316","phase_017_subj_125",32.6,-28.7
"317","phase_017_subj_127",168.3,-5.20000000000005
"318","phase_017_subj_128",102.1,79.5
"319","phase_017_subj_130",219,243.2
"320","phase_017_subj_132",135.8,125.2
"321","phase_017_subj_133",33.8000000000001,-7.29999999999995
"322","phase_017_subj_134",22.9,20.8
"323","phase_017_subj_135",-86.5999999999999,28.2666666666667
"324","phase_017_subj_136",145.7,59.3
"325","phase_017_subj_14",59.6999999999999,-30.4
"326","phase_017_subj_141",94.3999999999999,26.0999999999999
"327","phase_017_subj_142",108.7,-43.9
"328","phase_017_subj_144",17.5,94.5
"329","phase_017_subj_145",257,76.3333333333333
"330","phase_017_subj_149",76.3,-68.5
"331","phase_017_subj_152",210.2,157
"332","phase_017_subj_153",147.3,6.89999999999998
"333","phase_017_subj_154",-105.9,-52.0999999999999
"334","phase_017_subj_156",-2.39999999999998,228.6
"335","phase_017_subj_157",136,-32
"336","phase_017_subj_158",112,33.7
"337","phase_017_subj_159",136.8,86.0666666666666
"338","phase_017_subj_16",167.6,-31.8000000000001
"339","phase_017_subj_160",109.2,7
"340","phase_017_subj_161",-78.5999999999999,-168.4
"341","phase_017_subj_163",-33.9,122.5
"342","phase_017_subj_167",108.325,84.8
"343","phase_017_subj_168",60.9,-16.9
"344","phase_017_subj_19",-186.5,-53.4
"345","phase_017_subj_2",44.5,136.2
"346","phase_017_subj_21",170.4,118.8
"347","phase_017_subj_22",360.7,109.3
"348","phase_017_subj_23",-65.3,-16
"349","phase_017_subj_24",120,108.6
"350","phase_017_subj_27",285.4,-121.8
"351","phase_017_subj_29",-151.6,122.5
"352","phase_017_subj_3",50.5,30.0999999999999
"353","phase_017_subj_30",128.2,-67.1999999999999
"354","phase_017_subj_31",72.1888888888889,-89.4
"355","phase_017_subj_32",87.5,-19.2
"356","phase_017_subj_33",46.9,17
"357","phase_017_subj_34",302.6,-6
"358","phase_017_subj_36",105,82.4
"359","phase_017_subj_38",184,-223
"360","phase_017_subj_4",77.8,-153.7
"361","phase_017_subj_40",89.4,-62.5
"362","phase_017_subj_41",166.1,154
"363","phase_017_subj_43",113.4,-307.2
"364","phase_017_subj_46",99.8,-26.8
"365","phase_017_subj_47",-83.3777777777779,-98
"366","phase_017_subj_49",273.9,126.4
"367","phase_017_subj_5",103.9,70.2
"368","phase_017_subj_51",28.3000000000001,-97
"369","phase_017_subj_53",-19.3,-51.2
"370","phase_017_subj_54",203.7,82.1
"371","phase_017_subj_56",100.1,98.4
"372","phase_017_subj_58",52.5,107.6
"373","phase_017_subj_6",40.3,61.7
"374","phase_017_subj_60",-79.7,142.4
"375","phase_017_subj_61",-19.9000000000001,-231.2
"376","phase_017_subj_62",168.8,101.9
"377","phase_017_subj_63",-65.3000000000001,128
"378","phase_017_subj_67",-134.2,-142.122222222222
"379","phase_017_subj_68",-12.4,5.60000000000002
"380","phase_017_subj_69",62.5,-196.3
"381","phase_017_subj_7",103.6,-6.39999999999998
"382","phase_017_subj_70",-11.6999999999999,6.80000000000007
"383","phase_017_subj_71",267.8,-42.3
"384","phase_017_subj_75",177.7,12.6999999999999
"385","phase_017_subj_77",179.7,-27.5
"386","phase_017_subj_78",-367.875,-214.6
"387","phase_017_subj_79",-123.1,0.100000000000136
"388","phase_017_subj_8",-87.4,-121.1
"389","phase_017_subj_82",-0.399999999999977,-98.6999999999999
"390","phase_017_subj_84",150.9,45.7
"391","phase_017_subj_86",188.3,24.7
"392","phase_017_subj_87",15.9,51.1999999999999
"393","phase_017_subj_89",16.5,-69.6
"394","phase_017_subj_90",94.1999999999999,200.3
"395","phase_017_subj_91",-23.3000000000001,-71.6999999999999
"396","phase_017_subj_93",3.10000000000002,25.3
"397","phase_017_subj_94",288.6,73.8000000000001
"398","phase_017_subj_95",162.8,120.8
"399","phase_017_subj_97",111.5,-38.3000000000002
"400","phase_017_subj_99",-78.3888888888889,-113.5
"401","phase_018_subj_101",-52.8888888888889,-19.7
"402","phase_018_subj_103",42.4,-29.3000000000001
"403","phase_018_subj_104",-16.5,-4.30000000000001
"404","phase_018_subj_11",16.3000000000001,55.9000000000001
"405","phase_018_subj_13",179.4,63.3000000000001
"406","phase_018_subj_15",142.788888888889,79.2
"407","phase_018_subj_16",-20.5,-123.2
"408","phase_018_subj_17",74.3,67.3
"409","phase_018_subj_21",-25.0999999999999,51.5000000000001
"410","phase_018_subj_26",-85.6,-21.5999999999999
"411","phase_018_subj_28",64.1999999999999,-35.1999999999999
"412","phase_018_subj_3",286.8,-77.3
"413","phase_018_subj_33",15.1,-30
"414","phase_018_subj_34",73.6999999999999,-141.8
"415","phase_018_subj_36",-53.2333333333333,-57.8111111111111
"416","phase_018_subj_38",-15.1999999999999,21.5
"417","phase_018_subj_4",-31,-18.2
"418","phase_018_subj_41",81.5999999999999,-86.8
"419","phase_018_subj_42",192.1,150.6
"420","phase_018_subj_43",24.6,27.3
"421","phase_018_subj_44",111.6,50.6
"422","phase_018_subj_46",-124.6,4
"423","phase_018_subj_47",115.8,-207.2
"424","phase_018_subj_48",369.3,163.3
"425","phase_018_subj_5",11,58.7
"426","phase_018_subj_50",37.4,51.9
"427","phase_018_subj_51",154.6,23.5
"428","phase_018_subj_53",75.5,93.9999999999999
"429","phase_018_subj_54",-145,-251.7
"430","phase_018_subj_55",66.8111111111111,-38.4000000000001
"431","phase_018_subj_56",61.3,-116.2
"432","phase_018_subj_57",-192.1,-10.1999999999999
"433","phase_018_subj_59",195.5,-58.8000000000001
"434","phase_018_subj_6",-18.6000000000001,-0.5
"435","phase_018_subj_60",6.29999999999995,-113.4
"436","phase_018_subj_61",9.59999999999991,139.9
"437","phase_018_subj_62",13.9,-60.3
"438","phase_018_subj_65",-57.2,58.9
"439","phase_018_subj_69",57.3,-27.8000000000001
"440","phase_018_subj_70",54.2222222222222,-26.3
"441","phase_018_subj_71",153.4,158.122222222222
"442","phase_018_subj_72",208.2,132.1
"443","phase_018_subj_73",-49.4999999999999,-24.8
"444","phase_018_subj_74",106.3,-44.1
"445","phase_018_subj_75",53.6,41.1
"446","phase_018_subj_76",61.0999999999999,64.7
"447","phase_018_subj_77",162.6,65
"448","phase_018_subj_78",242.3,-49.7
"449","phase_018_subj_79",-12,-82.4
"450","phase_018_subj_8",316.3,125.4
"451","phase_018_subj_80",51.5999999999999,-126.7
"452","phase_018_subj_81",224.2,138.4
"453","phase_018_subj_82",36.5999999999999,57.4
"454","phase_018_subj_86",123.4,318.833333333333
"455","phase_018_subj_87",90.7,20.5
"456","phase_018_subj_88",85.5,-27
"457","phase_018_subj_89",78,-191.8
"458","phase_018_subj_9",8.40000000000009,111
"459","phase_018_subj_97",73.0999999999999,78.2
"460","phase_018_subj_98",16.6,123.3
"461","phase_019_subj_10",-59.3000000000001,-120.6
"462","phase_019_subj_12",19.1999999999999,31.8000000000001
"463","phase_019_subj_13",-68.1999999999999,-68.4
"464","phase_019_subj_14",119.6,85.1999999999999
"465","phase_019_subj_15",58.4,-27.6999999999999
"466","phase_019_subj_16",92.1,64.1
"467","phase_019_subj_18",146.6,-1.60000000000002
"468","phase_019_subj_19",132.488888888889,-80.875
"469","phase_019_subj_2",-40.6999999999999,76
"470","phase_019_subj_20",-188.833333333333,208.666666666667
"471","phase_019_subj_21",6.39999999999998,59.3000000000001
"472","phase_019_subj_22",18.5,23.9
"473","phase_019_subj_23",169.7,-32.7
"474","phase_019_subj_25",188.7,7.89999999999998
"475","phase_019_subj_26",-20.5,-55.1999999999999
"476","phase_019_subj_27",136.2,70.7111111111111
"477","phase_019_subj_30",103,144.9
"478","phase_019_subj_31",83.3000000000001,37.4
"479","phase_019_subj_33",252.188888888889,17.9
"480","phase_019_subj_34",106.9,295
"481","phase_019_subj_35",81.9,179.9
"482","phase_019_subj_39",-108.9,-16.5
"483","phase_019_subj_4",-66,46.9
"484","phase_019_subj_40",25.6999999999999,-16.7
"485","phase_019_subj_41",112.2,139.5
"486","phase_019_subj_42",55.5,107.5
"487","phase_019_subj_43",78.8,181.4
"488","phase_019_subj_45",187.1,-175.4
"489","phase_019_subj_46",217.7,23.9
"490","phase_019_subj_47",43.1,237.3
"491","phase_019_subj_48",-46.0999999999999,-30.4
"492","phase_019_subj_49",-34.0333333333334,-13.7714285714287
"493","phase_019_subj_53",87,-67.3000000000001
"494","phase_019_subj_54",112.4,135.8
"495","phase_019_subj_6",345.8,25.5999999999999
"496","phase_019_subj_8",0.399999999999864,102.5
"497","phase_019_subj_9",-163.8,-121.9
"498","phase_020_subj_1",3.42222222222222,-2.29999999999995
"499","phase_020_subj_2",-87.1999999999999,367.844444444445
"500","phase_020_subj_3",-48.8,1.70000000000005
"501","phase_020_subj_4",32.2,103.5
"502","phase_020_subj_5",11.6,-59.1
"503","phase_020_subj_6",41.6999999999999,-130.5
