"","SCS","RSES","CSE","HSNS","NPI","LOT","SDE","IM","MI","MSI","IPC","Ability","Attraction","Wealth","Social","Moral","ability_ALT_rt","moral_ALT_rt","ability_ALT_d","moral_ALT_d","ability_IAT","moral_IAT","ability_SRET_EW","moral_SRET_EW","ability_SRET_rt","moral_SRET_rt","ability_SRET_RJ1_d","moral_SRET_RJ1_d","ability_SRET_RJ2_d","moral_SRET_RJ2_d"
"ability_ALT_d",-0.0614729560700061,0.0172785774220218,0.0526485862420379,-0.0944286402542082,0.113665627048412,-0.036985835505273,-0.00684642508004163,-0.0909337934120207,-0.0953898398729771,0.083274484991091,-0.016907645000632,0.161612819542144,0.087446024703459,0.0396091083038144,0.0328963628768982,0.0175168051365446,0.67660375450016,0.195222435764822,1,0.23910521661074,0.129443285442355,0.0855868661885939,0.139334781312755,0.0337671197125193,-0.0377820650310582,-0.0266322937181668,-0.0524066930086146,0.0283022425994614,-0.0649878969457105,0.0115087560858488
"moral_ALT_d",-0.144935772946962,0.0116384285106092,0.0296429429085108,0.00235508714459678,0.117347712039553,-0.0573036497298403,-0.0639751507916326,-0.145478951496735,-0.103477060965398,-0.0428454761289305,-0.0373535949243057,0.0861988926005738,0.0838626478799309,0.0851604962378632,0.0669348422495933,0.0292342686847389,0.105365333009078,0.682032533298909,0.23910521661074,1,0.133355722104692,0.0500257614199082,0.0945993710457284,-0.00340121067087925,-0.0889480425318535,0.00113861746777722,-0.0209462619979525,-0.019648891256101,-0.000474720855770276,-0.0248668210614746
"ability_IAT",-0.0116093093700594,0.0221080560272007,0.10287474120375,-0.121138521414238,-0.00137009693063709,0.0166365971110083,0.0722596089550883,0.0590285079996085,-0.00336436407391815,0.114831599654825,0.13284766578481,0.0999361694339117,0.0653230492912366,0.0436929050255473,0.0622427068811568,0.0231160763063508,0.13938201197889,0.0934738656329831,0.129443285442355,0.133355722104692,1,0.402838180129051,0.126571132042282,0.0133716246742087,-0.104779747990072,-0.0718889639474065,-0.057706926833439,-0.0259944029665094,-0.079047091265747,-0.0485966695252415
"moral_IAT",-0.0853664499791031,-0.0364693753906251,-0.0242138069935642,-0.0223373885621659,0.0755356687450722,-0.00451126864366727,-0.0445337582646326,-0.00932324874128472,-0.0132032205851615,0.0779792707186045,0.0570316911442155,0.0758578509120313,0.0890248277664527,-0.00382088748403165,0.0010596893275975,0.0417595216241699,0.167542222635247,0.0798234462512715,0.0855868661885939,0.0500257614199082,0.402838180129051,1,0.0518260900143794,-0.0617491779553543,-0.068871833845849,-0.0303227115404207,-0.0812314849934122,0.0397203023093836,-0.0369776096040805,-0.0281765376917246
"ability_SRET_EW",0.189660853007135,0.284368597598229,0.402528460504336,-0.407875898614672,0.214381465040654,0.274472836132347,0.416998768739437,0.302628370633058,0.283580142290173,0.454988050315903,0.426022481121306,0.428555446638295,0.392478771271456,0.393617670192907,0.330856158699634,0.406336007274366,0.142760188804987,0.147480860077451,0.139334781312755,0.0945993710457284,0.126571132042282,0.0518260900143794,1,0.590606301223907,0.0353732068845296,0.027463913142573,-0.0820101940926096,-0.0613192226491538,-0.205613474502423,-0.211722185490277
"moral_SRET_EW",0.186893032854613,0.242728706599459,0.273692473367242,-0.260732608542944,0.030137722871942,0.24138404476543,0.265771593386146,0.260528415398038,0.242264196874561,0.308907720884794,0.284002757842246,0.212788434983165,0.179976164143282,0.186274730895965,0.144316728517976,0.232230668510857,0.0278135112556497,0.0199612488646532,0.0337671197125193,-0.00340121067087925,0.0133716246742087,-0.0617491779553543,0.590606301223907,1,0.0611352835135973,0.022757916394245,-0.0246012833463126,0.011120546175432,-0.0657608603219157,-0.0578507112608668
"ability_SRET_rt",0.0183979785378109,-0.00997223910125676,-0.0448467397690335,0.047227738919333,-0.0559216108279408,0.0630385447295805,-0.0169273858539994,0.0716184898385704,0.0913984769278739,0.149934652361423,-0.000529644492019319,-0.0327239566044285,-0.060198778762914,-0.00554498423768516,-0.0494969691750454,0.0151258828755324,-0.0395060195385848,-0.0780002324012205,-0.0377820650310582,-0.0889480425318535,-0.104779747990072,-0.068871833845849,0.0353732068845296,0.0611352835135973,1,0.661619293976833,0.0239039576457451,-0.0360594753779827,0.198811440268997,0.115467130885904
"moral_SRET_rt",0.0139231757870727,-0.0123706849457529,-0.00936495106457329,0.0355608717293863,-0.0819847905436675,0.0853149548904269,-0.00660161242970741,0.0370098327136666,0.0707936771235129,0.117535597188373,0.0183000415585068,-0.0568128489728785,-0.066279644016708,-0.0403449471524965,-0.0621554542730237,-0.0211291318669992,0.00848415102752221,-0.0551967250028395,-0.0266322937181668,0.00113861746777722,-0.0718889639474065,-0.0303227115404207,0.027463913142573,0.022757916394245,0.661619293976833,1,0.0061398553436168,0.021680257219447,0.148474283193843,0.127575946942652
"ability_SRET_RJ1_d",0.0950665169072579,0.0454784888757495,0.0336805267829939,-0.000420362309446588,0.0474077709544508,0.0392771095657515,0.0572103922129891,0.0149361602074245,-0.00125175415217716,-0.00633736345221121,-0.00897721783666301,-0.00185212438522526,-0.0274659079563573,-0.00374228025223063,0.00585036685698678,-0.0024343463995494,-0.087030643387516,-0.0566645301367033,-0.0524066930086146,-0.0209462619979525,-0.057706926833439,-0.0812314849934122,-0.0820101940926096,-0.0246012833463126,0.0239039576457451,0.0061398553436168,1,-0.000119742145884796,0.129012687226743,0.0888562338483162
"moral_SRET_RJ1_d",0.00888562287566047,0.100874706520657,-0.0302475316073903,0.0989365235821303,-0.113542562816002,0.0211917007531145,-0.071687216126976,0.0533979623747993,-0.0113183793278583,-0.0929539165475856,-0.0589176301286595,-0.118108457615387,-0.0811656631616426,-0.0981147054621585,-0.0846757973998232,-0.0747323574184592,-0.0236203093902578,-0.0581687804376874,0.0283022425994614,-0.019648891256101,-0.0259944029665094,0.0397203023093836,-0.0613192226491538,0.011120546175432,-0.0360594753779827,0.021680257219447,-0.000119742145884796,1,0.0142375169983988,0.0132033939784492
"ability_SRET_RJ2_d",-0.0536816085680505,-0.0300474664003443,-0.0962979832249748,0.0983672292249661,-0.0898681541412744,-0.0346360587082657,-0.0936007818856345,-0.0306050730474042,0.0192934397461393,-0.0541919591174066,-0.0899131168985108,-0.118697509725295,-0.0685049556131087,-0.14173821584092,-0.150763918060439,-0.0705757165578296,-0.0450951517731491,0.00559784637323988,-0.0649878969457105,-0.000474720855770276,-0.079047091265747,-0.0369776096040805,-0.205613474502423,-0.0657608603219157,0.198811440268997,0.148474283193843,0.129012687226743,0.0142375169983988,1,0.454117748652118
"moral_SRET_RJ2_d",-0.0188159347562387,-0.0412924457391629,-0.0964197665396343,0.035073015811362,-0.11396214660303,-0.0614797723811576,-0.069399844682038,-0.025366069005633,-0.0362165559952875,-0.0974108894850178,-0.0892946813975641,-0.156154264229966,-0.103602892318027,-0.141888680772768,-0.109215025629413,-0.18617892431522,-0.00924309678351709,-0.0502240610468586,0.0115087560858488,-0.0248668210614746,-0.0485966695252415,-0.0281765376917246,-0.211722185490277,-0.0578507112608668,0.115467130885904,0.127575946942652,0.0888562338483162,0.0132033939784492,0.454117748652118,1
