"","from","to","edgebetweenness"
"2954","IPC_2","IM_1",117
"10925","sde_12","IM_1",117
"416","IM_3","IM_14",115
"3559","IPC_7","IPC_8",114
"1099","ability_ALT_rt_val","ability_ALT_d_val",113
"8333","hsns_5","sde_10",113
"404","IM_2","moral_ALT_d_ref",112
"9638","moralSeImag_1","moralSeImag_2",112
"1143","moral_ALT_d_val","moral_ALT_d_ref",111
"3508","IPC_6","sde_13",110
"8297","hsns_5","hsns_6",109
"9252","MorIden_6","MorIden_8",108
"2150","LOT_3","coreself_6",107
"10815","sde_10","sde_17",107
"7521","NPI12","NPI15",106
"644","IM_9","Moral",105
"3444","IPC_6","coreself_10",104
"635","IM_9","IM_17",103
"956","Ability","Social",103
"4242","ses_4","ses_10",103
"6558","NPI3","NPI4",103
"9791","moralSeImag_3","moralSeImag_9",101
"2834","IPC_1","Physical",100
"8389","hsns_6","hsns_7",100
"572","IM_7","IM_20",99
"2222","LOT_3","sde_17",99
"10588","sde_6","sde_14",99
"809","IM_14","ability_ALT_d_ref",98
"3437","IPC_6","coreself_4",98
"7225","NPI9","hsns_10",98
"8682","hsns_9","sde_3",98
"9076","MorIden_3","ability_ALT_rt_val",98
"558","selfclarity_1","sde_16",97
"9788","moralSeImag_3","moralSeImag_6",96
"1606","selfclarity_11","sde_5",95
"214","selfclarity_8","selfclarity_12",94
"5554","coreself_4","MorIden_10",93
"10744","sde_8","ability_ALT_rt_ref",93
"10945","sde_12","IM_19",93
"815","IM_15","IM_19",92
"1823","LOT_1","LOT_5",92
"5871","coreself_7","coreself_10",92
"6034","coreself_8","moralSeImag_6",92
"8331","hsns_5","sde_8",91
"9642","moralSeImag_1","moralSeImag_5",91
"9863","moralSeImag_4","moralSeImag_9",91
"2065","LOT_2","sde_10",90
"2570","LOT_6","IPC_7",90
"2425","LOT_5","IPC_7",89
"9454","MorIden_8","IM_11",89
"5269","coreself_2","coreself_8",88
"7059","NPI7","sde_20",88
"6763","NPI4","Social",87
"4295","selfclarity_3","sde_12",86
"87","sde_15","ability_SRET_EW",85
"4889","ses_9","coreself_2",84
"9931","moralSeImag_5","moralSeImag_6",84
"10589","sde_6","sde_15",84
"825","selfclarity_8","hsns_6",83
"3838","ses_1","ses_6",83
"4250","selfclarity_1","coreself_4",83
"8084","selfclarity_6","selfclarity_11",83
"4253","ses_4","coreself_9",82
"6780","NPI5","NPI6",82
"10136","moralSeImag_8","moralSeImag_9",82
"954","Ability","Physical",81
"1824","LOT_1","LOT_6",81
"8429","hsns_6","sde_14",81
"7108","NPI8","NPI13",80
"198","sde_18","IM_8",79
"4026","ses_2","MorIden_10",79
"5198","coreself_1","sde_1",79
"568","IM_7","IM_17",78
"5869","coreself_7","coreself_8",78
"10586","sde_6","sde_12",78
"3244","IPC_4","IM_8",77
"10587","sde_6","sde_13",77
"6643","NPI3","IM_15",76
"6971","NPI6","IM_17",76
"6973","selfclarity_5","NPI8",76
"8203","hsns_4","hsns_5",76
"4373","ses_5","ses_9",75
"9720","moralSeImag_2","moralSeImag_9",75
"4382","ses_5","coreself_7",74
"6892","NPI6","NPI10",74
"100","sde_16","IM_3",73
"335","IM_1","IM_15",73
"2765","IPC_1","hsns_9",73
"5730","coreself_5","Ability",72
"8215","hsns_4","MorIden_6",72
"341","IM_1","IM_19",71
"571","IM_7","IM_19",71
"5581","coreself_4","sde_16",71
"9485","MorIden_8","ability_ALT_d_ref",71
"1531","selfclarity_11","ses_1",70
"1821","LOT_1","LOT_3",70
"2838","IPC_1","SES2",70
"974","Physical","Material",69
"1360","selfclarity_10","selfclarity_12",69
"1596","selfclarity_2","selfclarity_5",69
"2332","LOT_4","MorIden_2",69
"3373","IPC_5","sde_17",69
"4799","ses_8","hsns_10",69
"9514","MorIden_9","sde_16",69
"10069","moralSeImag_7","moralSeImag_8",69
"1517","selfclarity_11","LOT_3",68
"9087","MorIden_4","MorIden_5",68
"9852","moralSeImag_3","ability_SRET_EW",68
"3908","ses_1","sde_5",67
"5413","coreself_3","hsns_3",67
"99","sde_16","IM_2",66
"9410","MorIden_8","MorIden_10",66
"10984","sde_13","IM_8",66
"9330","MorIden_7","MorIden_8",65
"3974","ses_2","ses_7",64
"6018","coreself_8","MorIden_2",64
"1991","LOT_2","ses_8",63
"4829","selfclarity_4","selfclarity_5",63
"2939","IPC_2","sde_8",62
"4105","ses_3","ses_6",62
"9254","MorIden_6","MorIden_10",62
"2213","LOT_3","sde_9",61
"3367","IPC_5","sde_11",61
"6506","selfclarity_5","selfclarity_12",61
"8519","hsns_7","sde_14",61
"9173","selfclarity_6","sde_19",61
"9968","moralSeImag_5","IM_11",61
"10155","moralSeImag_8","sde_16",61
"210","sde_18","IM_19",60
"965","Ability","ability_ALT_rt_ref",60
"1205","selfclarity_9","selfclarity_11",59
"7082","NPI7","Ability",59
"7703","NPI13","Social",59
"8065","hsns_2","sde_20",59
"264","sde_19","SES1",58
"10648","sde_7","sde_17",58
"334","IM_1","IM_14",57
"10669","sde_7","IM_16",57
"367","IM_2","IM_6",56
"1687","selfclarity_12","ses_5",56
"5444","coreself_3","sde_2",56
"4502","ses_6","ses_8",55
"8608","hsns_8","sde_14",55
"1676","selfclarity_12","IPC_3",54
"3621","IPC_7","MorIden_10",54
"10436","sde_3","IM_20",54
"10523","sde_5","sde_9",54
"8755","hsns_10","MorIden_9",53
"9214","MorIden_5","IM_8",53
"3670","IPC_7","IM_16",52
"4505","ses_6","coreself_1",52
"5218","coreself_1","sde_19",52
"7953","hsns_1","sde_5",52
"7457","NPI11","sde_5",51
"888","IM_18","IM_20",50
"4082","ses_2","Ability",50
"9265","MorIden_6","sde_1",50
"611","IM_8","Moral",49
"4238","ses_4","ses_7",49
"5330","coreself_2","sde_9",49
"7511","NPI11","moral_ALT_rt_ref",49
"10352","sde_2","sde_20",49
"1454","selfclarity_10","sde_6",48
"3250","selfclarity_1","selfclarity_4",48
"8575","hsns_8","MorIden_4",48
"8909","MorIden_1","moral_ALT_rt_val",48
"369","IM_2","IM_8",47
"1140","ability_ALT_d_val","ability_ALT_d_ref",47
"2282","LOT_4","ses_2",47
"6277","coreself_10","sde_9",47
"8252","hsns_4","sde_19",47
"8523","hsns_7","sde_18",47
"9644","moralSeImag_1","moralSeImag_7",47
"2747","IPC_1","NPI8",46
"3201","IPC_4","MorIden_8",46
"9787","moralSeImag_3","moralSeImag_5",46
"339","IM_1","IM_17",45
"993","Material","Social",45
"4118","ses_3","coreself_7",45
"5633","coreself_5","coreself_8",45
"6455","NPI2","NPI11",45
"7397","NPI10","Physical",45
"10840","sde_10","IM_19",45
"2623","LOT_6","MorIden_1",44
"7737","NPI14","MorIden_5",44
"668","IM_10","IM_18",43
"8836","MorIden_1","MorIden_4",43
"9017","selfclarity_6","sde_5",43
"3016","IPC_3","coreself_4",42
"4121","ses_3","coreself_10",42
"5297","coreself_2","hsns_8",42
"5391","coreself_3","coreself_8",41
"9685","moralSeImag_1","IM_15",41
"209","sde_18","IM_18",40
"4793","ses_8","hsns_5",40
"5514","coreself_4","coreself_9",40
"8796","hsns_10","IM_7",40
"4104","ses_3","ses_5",39
"2902","IPC_2","hsns_4",38
"4246","ses_4","coreself_4",38
"4514","ses_6","coreself_9",38
"4898","ses_9","coreself_10",38
"5264","coreself_2","coreself_3",38
"7595","selfclarity_5","sde_20",38
"630","IM_9","IM_12",37
"1109","moral_ALT_rt_val","moral_ALT_d_val",37
"498","IM_5","IM_19",36
"3318","selfclarity_3","LOT_2",35
"4894","ses_9","coreself_7",35
"10474","sde_4","sde_18",35
"462","IM_4","IM_20",34
"629","IM_9","IM_11",34
"1386","selfclarity_10","ses_8",34
"2155","LOT_3","coreself_10",34
"5464","coreself_3","sde_20",34
"7314","NPI10","NPI12",34
"8051","selfclarity_6","selfclarity_8",34
"8279","hsns_4","Social",34
"9641","moralSeImag_1","moralSeImag_4",34
"9778","moralSeImag_2","moral_ALT_rt_ref",34
"10488","sde_4","IM_11",34
"976","Physical","Moral",33
"1420","selfclarity_10","hsns_4",33
"2145","LOT_3","coreself_1",33
"2739","IPC_1","NPI1",33
"2998","IPC_3","IPC_5",33
"6335","NPI1","NPI4",33
"6786","NPI5","NPI11",33
"9952","moralSeImag_5","sde_16",33
"628","IM_9","IM_10",32
"10521","sde_5","sde_7",32
"6121","coreself_9","hsns_1",31
"6450","selfclarity_5","selfclarity_7",31
"9670","moralSeImag_1","IM_2",31
"10419","sde_3","IM_4",31
"10611","sde_6","IM_15",31
"728","IM_12","IM_16",30
"1051","SES2","ability_SRET_EW",30
"3298","IPC_5","coreself_3",30
"6334","NPI1","NPI3",30
"7191","NPI8","Social",30
"8594","hsns_8","sde_2",30
"2945","IPC_2","sde_13",29
"4501","ses_6","ses_7",29
"5019","ses_10","coreself_6",29
"9860","moralSeImag_4","moralSeImag_7",29
"406","IM_3","IM_5",28
"5686","coreself_5","sde_2",28
"6898","NPI6","NPI15",28
"7484","selfclarity_5","sde_10",28
"9714","moralSeImag_2","moralSeImag_4",28
"10377","sde_2","Physical",28
"3895","selfclarity_3","hsns_5",27
"4363","selfclarity_3","sde_18",27
"5632","coreself_5","coreself_7",27
"8480","hsns_7","hsns_8",27
"9253","MorIden_6","MorIden_9",27
"71","sde_15","IM_19",26
"3537","IPC_6","IM_20",26
"5472","selfclarity_1","selfclarity_6",26
"8062","selfclarity_6","selfclarity_9",26
"3080","IPC_3","sde_7",25
"3987","ses_2","coreself_9",25
"6333","NPI1","NPI2",25
"8342","hsns_5","sde_18",25
"9932","moralSeImag_5","moralSeImag_7",25
"10459","sde_4","sde_6",25
"10695","selfclarity_7","sde_14",25
"787","IM_14","IM_18",24
"5147","coreself_1","coreself_9",24
"7672","selfclarity_5","IM_7",24
"10060","moralSeImag_6","ability_ALT_rt_ref",24
"10404","sde_3","sde_11",24
"4038","ses_2","sde_1",23
"8680","hsns_9","sde_1",23
"8697","hsns_9","sde_15",23
"9434","MorIden_8","sde_13",23
"10600","sde_6","IM_5",23
"2","selfclarity_1","selfclarity_11",22
"9","sde_14","IM_7",22
"324","IM_1","IM_5",22
"1775","selfclarity_12","sde_20",22
"3844","ses_1","coreself_1",22
"5771","coreself_6","hsns_1",22
"6580","NPI3","hsns_9",22
"8921","MorIden_2","MorIden_4",22
"9135","MorIden_4","IM_10",22
"10819","sde_10","sde_20",22
"634","IM_9","IM_16",21
"757","IM_13","IM_17",21
"3274","selfclarity_3","selfclarity_10",21
"4247","ses_4","coreself_5",21
"5266","coreself_2","coreself_5",21
"7","sde_14","IM_5",20
"2772","IPC_1","MorIden_6",20
"4759","ses_8","ses_9",20
"9958","moralSeImag_5","IM_2",20
"10374","sde_2","IM_19",20
"3403","IPC_5","Social",19
"6447","NPI2","NPI4",19
"7927","hsns_1","MorIden_1",19
"8209","hsns_4","hsns_10",19
"9981","moralSeImag_5","Material",19
"726","IM_12","IM_14",18
"4929","selfclarity_4","LOT_2",18
"5673","selfclarity_4","MorIden_10",18
"446","IM_4","IM_7",17
"3303","IPC_5","coreself_8",17
"10615","sde_6","IM_19",17
"1078","ability_IAT","ability_ALT_d_val",16
"1116","ability_ALT_rt_ref","ability_SRET_EW",16
"5142","coreself_1","coreself_4",16
"6087","coreself_8","Moral",16
"120","sde_16","IM_20",15
"830","IM_15","moral_ALT_rt_ref",15
"2553","LOT_5","ability_ALT_rt_val",15
"4533","ses_6","hsns_1",15
"8886","MorIden_1","IM_10",15
"10660","sde_7","IM_8",15
"171","sde_17","Social",14
"3262","IPC_4","Material",14
"5380","coreself_2","ability_SRET_EW",14
"6448","NPI2","NPI5",14
"7203","NPI8","moral_SRET_EW",14
"8148","hsns_3","sde_10",14
"9100","MorIden_4","moralSeImag_7",14
"2769","IPC_1","MorIden_3",13
"3320","IPC_5","NPI13",13
"7046","NPI7","sde_8",13
"8768","hsns_10","sde_2",13
"9351","MorIden_7","sde_8",13
"378","IM_2","IM_16",12
"595","IM_8","IM_10",12
"4243","ses_4","coreself_1",12
"5144","coreself_1","coreself_6",12
"5706","coreself_5","sde_20",12
"7695","selfclarity_1","hsns_10",12
"8891","MorIden_1","IM_15",12
"9695","selfclarity_7","LOT_2",12
"10275","sde_1","sde_7",12
"10365","sde_2","IM_11",12
"371","IM_2","IM_9",11
"1948","LOT_1","IM_20",11
"4789","ses_8","hsns_1",11
"5143","coreself_1","coreself_5",11
"5462","coreself_3","sde_18",11
"5753","coreself_6","coreself_9",11
"8668","hsns_9","MorIden_9",11
"10088","moralSeImag_7","sde_16",11
"10291","sde_1","IM_2",11
"817","IM_15","Ability",10
"2767","IPC_1","MorIden_1",10
"3554","IPC_6","moral_SRET_EW",10
"4273","selfclarity_3","sde_10",10
"6048","coreself_8","sde_10",10
"6790","NPI5","NPI15",10
"7089","NPI7","SES1",10
"8917","selfclarity_1","moralSeImag_1",10
"9639","selfclarity_7","selfclarity_9",10
"237","selfclarity_8","LOT_2",9
"701","IM_11","IM_19",9
"2204","LOT_3","sde_1",9
"2938","IPC_2","sde_7",9
"5242","coreself_1","Ability",9
"5495","coreself_3","SES1",9
"6785","NPI5","NPI10",9
"10004","moralSeImag_6","sde_2",9
"10400","sde_3","sde_7",9
"10481","sde_4","IM_5",9
"168","sde_17","Physical",8
"195","sde_18","IM_5",8
"637","IM_9","IM_18",8
"1988","LOT_2","ses_5",8
"7554","NPI12","sde_1",8
"7721","NPI14","NPI15",8
"8299","hsns_5","hsns_8",8
"10390","sde_2","ability_SRET_EW",8
"408","IM_3","IM_7",7
"2024","LOT_2","hsns_3",7
"2125","LOT_3","IPC_3",7
"2855","IPC_2","IPC_4",7
"3264","IPC_4","Social",7
"5631","coreself_5","coreself_6",7
"8465","hsns_6","SES1",7
"8791","hsns_10","IM_3",7
"9718","moralSeImag_2","moralSeImag_7",7
"1149","selfclarity_8","sde_10",6
"1573","selfclarity_2","selfclarity_3",6
"2281","LOT_4","ses_1",6
"2448","LOT_5","coreself_10",6
"6934","NPI6","sde_3",6
"7007","NPI7","hsns_2",6
"8324","hsns_5","sde_2",6
"10050","moralSeImag_6","Material",6
"10343","sde_2","sde_12",6
"1421","selfclarity_10","hsns_5",5
"1845","LOT_1","coreself_1",5
"2134","LOT_3","ses_3",5
"2172","LOT_3","hsns_1",5
"4215","ses_3","Ability",5
"4642","ses_7","coreself_8",5
"5153","coreself_1","NPI4",5
"5394","coreself_3","NPI1",5
"8798","hsns_10","IM_9",5
"9259","MorIden_6","moralSeImag_5",5
"10336","sde_2","sde_6",5
"365","IM_2","IM_4",4
"455","IM_4","IM_14",4
"1911","LOT_1","sde_7",4
"2447","LOT_5","coreself_9",4
"3240","IPC_4","IM_4",4
"3242","IPC_4","IM_6",4
"4110","ses_3","ses_10",4
"7333","NPI10","MorIden_4",4
"8339","selfclarity_6","ses_8",4
"8902","MorIden_1","Moral",4
"9326","MorIden_6","moral_ALT_d_val",4
"10696","sde_7","moral_ALT_d_ref",4
"491","IM_5","IM_13",3
"3929","selfclarity_3","hsns_8",3
"4440","selfclarity_3","IM_5",3
"4644","ses_7","coreself_10",3
"8228","selfclarity_6","IPC_6",3
"8748","hsns_10","MorIden_3",3
"105","sde_16","IM_7",2
"377","IM_2","IM_15",2
"2117","selfclarity_2","NPI6",2
"2436","LOT_5","ses_9",2
"2466","LOT_5","hsns_1",2
"2478","LOT_5","MorIden_1",2
"2630","LOT_6","MorIden_7",2
"2901","IPC_2","hsns_3",2
"3918","selfclarity_3","hsns_7",2
"4504","ses_6","ses_10",2
"5355","coreself_2","IM_12",2
"5996","coreself_8","NPI7",2
"6103","coreself_9","coreself_10",2
"6163","coreself_9","sde_9",2
"7229","NPI9","MorIden_3",2
"8329","hsns_5","sde_6",2
"8531","hsns_7","IM_5",2
"8540","hsns_7","IM_13",2
"8591","hsns_8","moralSeImag_8",2
"9198","MorIden_5","sde_13",2
"9367","MorIden_7","IM_2",2
"759","IM_13","IM_18",1
"2615","LOT_6","hsns_4",1
"4271","ses_4","hsns_1",1
"5418","coreself_3","hsns_7",1
"5543","coreself_4","hsns_10",1
"5879","coreself_7","NPI7",1
"8600","hsns_8","sde_7",1
"9102","MorIden_4","moralSeImag_9",1
"9392","MorIden_7","Moral",1
"9511","MorIden_9","sde_13",1
"10011","moralSeImag_6","sde_8",1
"10810","sde_10","sde_12",1
"1","selfclarity_1","selfclarity_2",0
"3","selfclarity_1","sde_11",0
"4","selfclarity_7","Social",0
"5","sde_14","IM_3",0
"6","sde_14","IM_4",0
"8","sde_14","IM_6",0
"10","sde_14","IM_8",0
"11","sde_14","IM_9",0
"12","sde_14","IM_10",0
"13","sde_14","IM_11",0
"14","sde_14","IM_12",0
"15","selfclarity_7","Moral",0
"16","sde_14","IM_13",0
"17","sde_14","IM_14",0
"18","sde_14","IM_15",0
"19","sde_14","IM_16",0
"20","sde_14","IM_17",0
"21","sde_14","IM_18",0
"22","sde_14","IM_19",0
"23","sde_14","IM_20",0
"24","sde_14","Ability",0
"25","sde_14","Physical",0
"26","selfclarity_7","SES2",0
"27","sde_14","Material",0
"28","sde_14","Social",0
"29","sde_14","Moral",0
"30","sde_14","SES2",0
"31","sde_14","SES1",0
"32","sde_14","ability_IAT",0
"33","sde_14","moral_IAT",0
"34","sde_14","ability_ALT_rt_val",0
"35","sde_14","moral_ALT_rt_val",0
"36","sde_14","ability_ALT_rt_ref",0
"37","selfclarity_7","SES1",0
"38","sde_14","moral_ALT_rt_ref",0
"39","sde_14","ability_SRET_EW",0
"40","sde_14","moral_SRET_EW",0
"41","sde_14","ability_ALT_d_val",0
"42","sde_14","moral_ALT_d_val",0
"43","sde_14","ability_ALT_d_ref",0
"44","sde_14","moral_ALT_d_ref",0
"45","sde_15","sde_16",0
"47","sde_15","sde_18",0
"48","selfclarity_7","ability_IAT",0
"49","sde_15","sde_19",0
"50","sde_15","sde_20",0
"51","sde_15","IM_1",0
"52","sde_15","IM_2",0
"53","sde_15","IM_3",0
"54","sde_15","IM_4",0
"55","sde_15","IM_5",0
"57","sde_15","IM_7",0
"58","sde_15","IM_8",0
"59","selfclarity_7","moral_IAT",0
"60","sde_15","IM_9",0
"61","sde_15","IM_10",0
"62","sde_15","IM_11",0
"63","sde_15","IM_12",0
"64","sde_15","IM_13",0
"65","sde_15","IM_14",0
"66","sde_15","IM_15",0
"67","sde_15","IM_16",0
"68","sde_15","IM_17",0
"69","sde_15","IM_18",0
"70","selfclarity_7","ability_ALT_rt_val",0
"72","sde_15","IM_20",0
"73","sde_15","Ability",0
"74","sde_15","Physical",0
"76","sde_15","Social",0
"77","sde_15","Moral",0
"78","sde_15","SES2",0
"79","sde_15","SES1",0
"80","sde_15","ability_IAT",0
"81","selfclarity_7","moral_ALT_rt_val",0
"82","sde_15","moral_IAT",0
"83","sde_15","ability_ALT_rt_val",0
"84","sde_15","moral_ALT_rt_val",0
"85","sde_15","ability_ALT_rt_ref",0
"86","sde_15","moral_ALT_rt_ref",0
"88","sde_15","moral_SRET_EW",0
"89","sde_15","ability_ALT_d_val",0
"90","sde_15","moral_ALT_d_val",0
"91","sde_15","ability_ALT_d_ref",0
"92","selfclarity_7","ability_ALT_rt_ref",0
"93","sde_15","moral_ALT_d_ref",0
"94","sde_16","sde_17",0
"95","sde_16","sde_18",0
"96","sde_16","sde_19",0
"97","sde_16","sde_20",0
"98","sde_16","IM_1",0
"101","sde_16","IM_4",0
"102","sde_16","IM_5",0
"103","selfclarity_7","moral_ALT_rt_ref",0
"104","sde_16","IM_6",0
"106","sde_16","IM_8",0
"107","sde_16","IM_9",0
"108","sde_16","IM_10",0
"109","sde_16","IM_11",0
"110","sde_16","IM_12",0
"111","sde_16","IM_13",0
"112","sde_16","IM_14",0
"113","sde_16","IM_15",0
"114","selfclarity_1","sde_12",0
"115","selfclarity_7","ability_SRET_EW",0
"116","sde_16","IM_16",0
"117","sde_16","IM_17",0
"118","sde_16","IM_18",0
"119","sde_16","IM_19",0
"121","sde_16","Ability",0
"122","sde_16","Physical",0
"123","sde_16","Material",0
"124","sde_16","Social",0
"125","sde_16","Moral",0
"126","selfclarity_7","moral_SRET_EW",0
"127","sde_16","SES2",0
"128","sde_16","SES1",0
"129","sde_16","ability_IAT",0
"130","sde_16","moral_IAT",0
"131","sde_16","ability_ALT_rt_val",0
"132","sde_16","moral_ALT_rt_val",0
"133","sde_16","ability_ALT_rt_ref",0
"134","sde_16","moral_ALT_rt_ref",0
"135","sde_16","ability_SRET_EW",0
"136","sde_16","moral_SRET_EW",0
"137","selfclarity_7","ability_ALT_d_val",0
"138","sde_16","ability_ALT_d_val",0
"139","sde_16","moral_ALT_d_val",0
"140","sde_16","ability_ALT_d_ref",0
"141","sde_16","moral_ALT_d_ref",0
"142","sde_17","sde_18",0
"143","sde_17","sde_19",0
"144","sde_17","sde_20",0
"145","sde_17","IM_1",0
"146","sde_17","IM_2",0
"147","sde_17","IM_3",0
"148","selfclarity_7","moral_ALT_d_val",0
"149","sde_17","IM_4",0
"150","sde_17","IM_5",0
"151","sde_17","IM_6",0
"152","sde_17","IM_7",0
"153","sde_17","IM_8",0
"154","sde_17","IM_9",0
"155","sde_17","IM_10",0
"156","sde_17","IM_11",0
"157","sde_17","IM_12",0
"158","sde_17","IM_13",0
"159","selfclarity_7","ability_ALT_d_ref",0
"160","sde_17","IM_14",0
"161","sde_17","IM_15",0
"162","sde_17","IM_16",0
"163","sde_17","IM_17",0
"164","sde_17","IM_18",0
"165","sde_17","IM_19",0
"166","sde_17","IM_20",0
"167","sde_17","Ability",0
"169","sde_17","Material",0
"170","selfclarity_7","moral_ALT_d_ref",0
"172","sde_17","Moral",0
"173","sde_17","SES2",0
"174","sde_17","SES1",0
"175","sde_17","ability_IAT",0
"176","sde_17","moral_IAT",0
"177","sde_17","ability_ALT_rt_val",0
"178","sde_17","moral_ALT_rt_val",0
"179","sde_17","ability_ALT_rt_ref",0
"180","sde_17","moral_ALT_rt_ref",0
"181","selfclarity_8","selfclarity_9",0
"182","sde_17","ability_SRET_EW",0
"183","sde_17","moral_SRET_EW",0
"184","sde_17","ability_ALT_d_val",0
"185","sde_17","moral_ALT_d_val",0
"186","sde_17","ability_ALT_d_ref",0
"187","sde_17","moral_ALT_d_ref",0
"188","sde_18","sde_19",0
"189","sde_18","sde_20",0
"190","sde_18","IM_1",0
"191","sde_18","IM_2",0
"192","selfclarity_8","selfclarity_10",0
"193","sde_18","IM_3",0
"194","sde_18","IM_4",0
"196","sde_18","IM_6",0
"197","sde_18","IM_7",0
"199","sde_18","IM_9",0
"200","sde_18","IM_10",0
"201","sde_18","IM_11",0
"202","sde_18","IM_12",0
"203","selfclarity_8","selfclarity_11",0
"204","sde_18","IM_13",0
"205","sde_18","IM_14",0
"206","sde_18","IM_15",0
"207","sde_18","IM_16",0
"208","sde_18","IM_17",0
"211","sde_18","IM_20",0
"212","sde_18","Ability",0
"213","sde_18","Physical",0
"215","sde_18","Material",0
"216","sde_18","Social",0
"217","sde_18","Moral",0
"218","sde_18","SES2",0
"219","sde_18","SES1",0
"220","sde_18","ability_IAT",0
"221","sde_18","moral_IAT",0
"222","sde_18","ability_ALT_rt_val",0
"223","sde_18","moral_ALT_rt_val",0
"224","sde_18","ability_ALT_rt_ref",0
"225","selfclarity_1","sde_13",0
"226","selfclarity_8","LOT_1",0
"227","sde_18","moral_ALT_rt_ref",0
"228","sde_18","ability_SRET_EW",0
"229","sde_18","moral_SRET_EW",0
"230","sde_18","ability_ALT_d_val",0
"231","sde_18","moral_ALT_d_val",0
"232","sde_18","ability_ALT_d_ref",0
"233","sde_18","moral_ALT_d_ref",0
"234","sde_19","sde_20",0
"235","sde_19","IM_1",0
"236","sde_19","IM_2",0
"238","sde_19","IM_3",0
"239","sde_19","IM_4",0
"240","sde_19","IM_5",0
"241","sde_19","IM_6",0
"242","sde_19","IM_7",0
"243","sde_19","IM_8",0
