"","Betweenness","Closeness","Strength","ExpectedInfluence"
"MorIden_5",325,0.000185893492674311,1.14629669817208,0.99827802100125
"MorIden_6",162,0.00019559406002349,0.948296601502743,0.681143623572975
"MorIden_7",146,0.000189504998454405,1.04372765883691,0.950929886072802
"MorIden_8",133,0.000189390225330152,0.914805160965135,0.830494560347843
"MorIden_9",155,0.000186640144378967,1.03103374963728,0.740614079857276
"MorIden_10",192,0.000194318770096065,0.955561392227439,0.942971522467103
"moralSeImag_1",133,0.000157654221272275,1.09172557234399,1.09172557234399
"moralSeImag_2",57,0.000155952599937181,0.989639542747082,0.865967177425978
"moralSeImag_3",204,0.0001710054220584,1.078826240813,1.04642150311957
"moralSeImag_4",84,0.000158557806283093,1.01326063711831,0.933657990287504
"moralSeImag_5",117,0.000161886643030455,1.03713438406403,1.03713438406403
"moralSeImag_6",191,0.00016537923824077,0.902436793631729,0.874208692914549
"moralSeImag_7",29,0.000157678420017834,1.10913265437326,1.07737312800019
"moralSeImag_8",359,0.000171311428006319,1.1403010759581,1.06219256959095
"moralSeImag_9",152,0.000162407729443842,1.11499078453074,0.947528399871382
"sde_1",104,0.000199467598175352,0.734281334074968,0.734281334074968
"sde_2",222,0.000200205364172009,1.02659644261344,0.711384598603247
"sde_3",197,0.000203968466586458,1.09378825471016,0.528778149109303
"sde_4",140,0.000205056467354064,0.941316861031315,0.941316861031315
"sde_5",238,0.000200813291054046,1.03593853547774,0.989423663070689
"sde_6",203,0.000205813367586159,1.34734350865687,0.77954621482276
"sde_7",233,0.000206400829531148,0.96619690256876,0.878500600930013
"sde_8",114,0.000199603891333121,0.799718594987534,-0.440213275159798
"sde_9",271,0.000215716792913743,1.1812641689384,1.1812641689384
"sde_10",256,0.000207956058838168,1.26845318772342,0.406117576448746
"sde_11",501,0.000220531967612474,1.13524564649505,1.1270503484329
"sde_12",205,0.000209515558011146,1.21438392627015,1.00404333584426
"sde_13",380,0.000218889256021895,1.06666415716723,0.505865521782623
"sde_14",24,0.000177859092178895,0.861352862335116,0.358355756400815
"sde_15",138,0.000210778534284943,1.04255896438045,1.00872203976342
"sde_16",99,0.000196424634107872,0.975476282918311,0.576690371641513
"sde_17",428,0.000219939607630252,1.16691908442012,1.16691908442012
"sde_18",21,0.000185018438156121,0.856367847786245,0.368047981562178
"sde_19",243,0.000205699890420589,0.971760078692685,0.420419029295729
"sde_20",449,0.000208916398441986,1.21430850065811,0.969569278740646
"IM_1",299,0.000212523235357625,1.11918566206506,1.11918566206506
"IM_2",458,0.000210986150799887,1.20414469454149,1.11277923654408
"IM_3",517,0.000216609908335257,1.3092849402331,0.69636832740709
"IM_4",352,0.000206211818617734,1.37760892084001,0.990629850678043
"IM_5",29,0.00019039580781812,1.09605160626287,0.672394934018772
"IM_6",225,0.000196419797637741,1.03841240358419,0.952804632318652
"IM_7",195,0.000201014986632937,1.12858737899325,0.96994749885247
"IM_8",7,0.00016751800640937,0.699017076410125,0.609592134782433
"IM_9",54,0.000178981400701724,1.10265428632973,0.961175852244498
"IM_10",205,0.000192104048982415,0.718777034620783,0.596996565432629
"IM_11",96,0.000181665351877903,0.857533739042105,0.857533739042105
"IM_12",137,0.000194504366382661,0.981620860022472,0.873861439427309
"IM_13",32,0.000164296195989254,0.733663904198623,0.458209159216285
"IM_14",21,0.000180286404644066,0.836003145442935,0.810582353741562
"IM_15",318,0.000211339502026575,1.18457713535462,0.876067401741029
"IM_16",291,0.000196721869763604,1.17911319516387,1.17911319516387
"IM_17",17,0.000190167637426275,0.919515064457966,0.844716540039228
"IM_18",9,0.000168820763624206,0.605657891516192,0.605657891516192
"IM_19",275,0.000207069859475637,1.2910011260574,1.19952369799917
"IM_20",210,0.000196001453245521,1.0916170793038,1.07648238830839
"Ability",580,0.000221237370306943,1.42457782044472,1.21572181974205
"Attraction",289,0.000212922618969025,1.12014530386731,1.11542977828578
"Wealth",253,0.000203655112327465,0.977970048657702,0.977970048657702
"Social",401,0.000209837236746286,1.20672209096746,0.743610542671227
"Moral",334,0.000208104465617744,1.03393338741089,1.03393338741089
"SES2",96,0.000172453556566669,0.945346672181807,0.899548395488701
"SES1",27,0.000169367313135172,0.880682829629619,0.681081135268154
