a_Mean,a_SD,a_2.5%,a_97.5%,b_Mean,b_SD,b_2.5%,b_97.5%,dNSG_Mean,dNSG_SD,dNSG_2.5%,dNSG_97.5%,DNSG_Mean,DNSG_SD,DNSG_2.5%,DNSG_97.5%,dSG_Mean,dSG_SD,dSG_2.5%,dSG_97.5%,DSG_Mean,DSG_SD,DSG_2.5%,DSG_97.5%
0.328541781,0.085708276,0.17116685,0.50631505,0.495590722,0.087691506,0.3211223,0.66431385,0.400083692,0.402870096,1.60E-15,1,0.176674729,0.097701625,0.02490901,0.3954947,0.209914637,0.278065189,1.05E-14,0.9893095,0.177405616,0.12308486,0.009364461,0.4655687
0.555374069,0.092061783,0.377747375,0.736325,0.80276127,0.086637947,0.609938075,0.94628105,0.590488982,0.384237487,4.27E-08,1,0.337511142,0.113418538,0.1209035,0.56127045,0.567703804,0.357920962,9.66E-06,1,0.329853314,0.1733544,0.03505086,0.68224955
0.433540939,0.146268978,0.167753225,0.732778975,0.210506373,0.125212895,0.032138135,0.504362175,0.841325531,0.257242447,0.0008609,1,0.709028607,0.105459959,0.481336925,0.890308125,0.945343808,0.103735506,0.645467975,1,0.742281312,0.116858193,0.4803659,0.92930435
0.531260052,0.117532199,0.30382445,0.7559142,0.230832034,0.113385755,0.049365863,0.483200025,0.196825377,0.251953446,7.24E-22,0.91790375,0.5275918,0.129516491,0.260895175,0.765374975,0.695301925,0.297380566,0.001043824,1,0.555561897,0.144545462,0.2526917,0.813575075
0.41389999,0.122034195,0.189495975,0.6610618,0.13831594,0.067547716,0.032346258,0.292383775,0.280861969,0.349994178,7.32E-24,1,0.282068241,0.122481981,0.065662505,0.536809175,0.320409266,0.330327655,1.29E-14,0.99967225,0.221021118,0.118443456,0.029704375,0.474795475
0.552314108,0.090741025,0.3699029,0.72159765,0.520447309,0.108156835,0.307495175,0.72807115,0.165766706,0.262678402,3.51E-22,0.9937858,0.303951744,0.12456357,0.074755533,0.554561825,0.295000317,0.301099845,5.50E-11,0.993347925,0.347903618,0.173211251,0.045224405,0.702479075
0.467738783,0.074195054,0.323820175,0.6125577,0.878545095,0.056807643,0.749760125,0.96742645,0.260021167,0.357004356,1.16E-16,1,0.11621089,0.07214969,0.012403053,0.284003525,0.221247304,0.296649458,4.97E-16,0.99615435,0.145108606,0.120479514,0.003435904,0.444565275
0.495917349,0.091675845,0.3164098,0.673377625,0.46173232,0.108151743,0.252067825,0.6724676,0.148482404,0.248673028,9.69E-22,0.9849064,0.310579301,0.126917281,0.076163788,0.56745275,0.223850439,0.260749085,7.97E-12,0.932548,0.307797752,0.161456387,0.035170508,0.6473314
0.510915572,0.079683408,0.35618705,0.6656541,0.826211138,0.091308745,0.62249155,0.96881095,0.15664363,0.259486928,3.61E-21,0.9930103,0.355280851,0.118270824,0.1272136,0.589385375,0.257367271,0.294180347,2.36E-10,0.9977061,0.267953446,0.16711631,0.020360955,0.649245475
0.494899706,0.098726897,0.305335375,0.694516625,0.799239535,0.10276209,0.570547975,0.96024465,0.591581612,0.376396384,2.17E-08,1,0.458739764,0.114791766,0.225461375,0.676558225,0.640210596,0.330916359,0.00047221,1,0.419637732,0.181358789,0.072710873,0.766996025
0.461962831,0.069992678,0.32463275,0.597788025,0.98296737,0.019319244,0.929129425,0.99982,0.325109363,0.404358327,5.62E-18,1,0.035101927,0.033981683,0.001089215,0.12471655,0.18639724,0.30082209,1.89E-25,0.9989912,0.094168146,0.116508534,0.000116614,0.42264365
0.558243476,0.069345088,0.420442925,0.690666325,0.984702279,0.018066128,0.93410385,0.999854,0.287261612,0.390628387,5.88E-20,1,0.032659549,0.032332338,0.001000211,0.11944325,0.185969657,0.302689741,4.99E-28,0.9989176,0.094443697,0.119197892,9.55E-05,0.43155885
0.556354389,0.070589584,0.414959625,0.690207025,0.950078996,0.034057863,0.865566425,0.993975175,0.284916035,0.382203788,9.11E-18,1,0.057723261,0.044997166,0.003790243,0.1714584,0.188071292,0.291162968,6.34E-22,0.994058575,0.110104063,0.112595996,0.000722161,0.40741285
0.617658019,0.068008538,0.48011385,0.7445921,0.985686114,0.017237611,0.935965575,0.999889,0.282624965,0.389502161,8.51E-22,1,0.031294357,0.031218332,0.000906009,0.116390275,0.173225244,0.292598198,1.20E-28,0.996570875,0.089592771,0.114852977,9.12E-05,0.414906025
0.574319432,0.07470367,0.4256902,0.717383625,0.831325215,0.065564281,0.684969675,0.9412687,0.249705929,0.349902124,2.13E-17,1,0.12737869,0.076972262,0.01453536,0.306191125,0.241622294,0.305626595,4.11E-16,0.997662225,0.185787043,0.14514937,0.005848528,0.540621575
0.443891501,0.101633059,0.2541641,0.650626625,0.408965089,0.094496897,0.228970675,0.598078725,0.460509084,0.396552494,5.80E-14,1,0.308051022,0.126368906,0.077405435,0.564212525,0.348529528,0.34004319,1.79E-10,0.999982025,0.205310757,0.120588509,0.0191878,0.470243625
0.612904395,0.09650514,0.4163644,0.79287235,0.619148698,0.124607644,0.364153675,0.846544675,0.20309233,0.278520008,1.67E-19,0.998183625,0.445779658,0.1267304,0.189257275,0.682064125,0.683311071,0.320425343,0.000357306,1,0.525965044,0.183693213,0.134025375,0.8513707
0.696440861,0.068977893,0.551473825,0.82387625,0.851028387,0.060484937,0.71642795,0.950936625,0.194147957,0.321669604,4.67E-22,1,0.10016814,0.067002931,0.009221163,0.25985035,0.209621435,0.295842978,4.16E-21,0.99365645,0.162606374,0.139708556,0.002835814,0.511647875
0.581189742,0.112047716,0.35595155,0.790891875,0.270757588,0.093884019,0.105535875,0.467541075,0.189133352,0.275392541,6.15E-22,0.9955308,0.347573432,0.132294664,0.098127415,0.6125133,0.549162919,0.363716302,1.03E-08,1,0.327363076,0.147594767,0.054547098,0.614476325
0.479373738,0.105958446,0.274255725,0.687606175,0.371788707,0.108475244,0.1712357,0.58996765,0.437643831,0.386491262,5.27E-14,1,0.346732971,0.12380963,0.112377875,0.59122405,0.422962208,0.330022311,3.47E-08,0.999972,0.399645944,0.163003124,0.08760639,0.71674285
0.654569174,0.065960549,0.518683875,0.7769259,0.986034842,0.0170513,0.939115275,0.999899,0.269185436,0.383756112,3.63E-22,1,0.030562505,0.030831424,0.00084248,0.113860375,0.171606884,0.293585325,9.42E-30,0.997323375,0.089755989,0.117110277,7.10E-05,0.426912
0.57513601,0.103772272,0.36708095,0.773004725,0.305590211,0.099018017,0.12555165,0.5093734,0.129757057,0.216277377,2.82E-24,0.859667075,0.372108298,0.137137681,0.10988765,0.63778045,0.415262356,0.352528432,4.18E-11,0.999989,0.291119508,0.140119007,0.04388786,0.575176525
0.340347176,0.085103378,0.184833375,0.5150053,0.552897287,0.096345687,0.363089925,0.7392265,0.403480136,0.396584852,2.75E-15,1,0.259146823,0.11925615,0.050976738,0.506087725,0.269624084,0.303651193,1.52E-11,0.9988832,0.225283778,0.138294367,0.01801029,0.53341985
0.539043855,0.087458506,0.359399275,0.703431275,0.815461684,0.073901045,0.650849775,0.93753435,0.445419585,0.406407633,2.36E-11,1,0.180155703,0.091573719,0.029392673,0.379776275,0.63073445,0.366313219,5.02E-07,1,0.393438821,0.224569166,0.018512963,0.814757225
0.369508217,0.099124385,0.18612,0.569712075,0.321098829,0.104457836,0.130484775,0.538227475,0.254884666,0.327263016,1.21E-19,0.999993025,0.339338912,0.129149837,0.098586065,0.596004575,0.284316362,0.287333313,1.11E-10,0.98800875,0.339616099,0.154861153,0.058259998,0.6532964
0.312617436,0.096212793,0.134578625,0.507106175,0.469347819,0.106386448,0.26715485,0.681343075,0.479510407,0.395399034,8.89E-12,1,0.332116069,0.12240351,0.10080195,0.571002625,0.568483181,0.334918464,1.13E-05,1,0.380339014,0.158194079,0.08148085,0.69386605
0.475554577,0.090002837,0.299215975,0.648539675,0.831925686,0.075630297,0.661711525,0.95227815,0.557150073,0.400108106,1.37E-08,1,0.229025557,0.099525851,0.052734023,0.436286425,0.638879178,0.345104392,2.08E-05,1,0.415346349,0.21066267,0.037799465,0.8225257
0.406196033,0.082821811,0.247490475,0.571188225,0.71417443,0.087718401,0.531772375,0.872068475,0.372018261,0.387134296,1.13E-13,1,0.219655635,0.102209686,0.044759588,0.435195775,0.344249103,0.330177977,3.35E-10,0.999920075,0.286626892,0.171677512,0.02243201,0.6609297
0.405920187,0.108262234,0.20462775,0.625879625,0.61659958,0.139211582,0.334774225,0.870275025,0.631583962,0.364589521,3.44E-08,1,0.52261752,0.117833488,0.2791004,0.73784705,0.744839439,0.266298494,0.046839368,1,0.605475402,0.171422767,0.251224325,0.917005375
0.505936998,0.102841254,0.303636025,0.708446375,0.436037869,0.150918412,0.1528667,0.7335198,0.137831227,0.194466997,2.18E-25,0.6661116,0.656460938,0.12501924,0.389035375,0.871972275,0.585674721,0.342026223,1.44E-05,1,0.430142891,0.16171087,0.1083874,0.732948125
0.575135224,0.083350381,0.4079329,0.734379125,0.730845252,0.08074187,0.560926325,0.875286325,0.371014616,0.390991874,7.35E-15,1,0.181149976,0.096842094,0.025465178,0.393184925,0.413483281,0.369779934,4.06E-11,0.999998,0.239549202,0.160598395,0.011085343,0.599724775
0.482461379,0.115164932,0.258711725,0.705834125,0.367921126,0.149968814,0.1081188,0.68383885,0.182231385,0.238339236,1.88E-20,0.87198405,0.594679013,0.123210086,0.3302208,0.810461475,0.844332682,0.199948108,0.260452525,1,0.744913866,0.138316422,0.439845925,0.9619573
0.482059215,0.086421583,0.3124913,0.651451175,0.827761443,0.089439922,0.62885925,0.965600625,0.411218053,0.387634311,2.55E-12,1,0.3394212,0.110810075,0.126510825,0.55870905,0.509865737,0.349144337,4.25E-06,1,0.377326986,0.192558856,0.042084693,0.774896025
0.365076723,0.124984702,0.143817425,0.626931175,0.301490602,0.14194455,0.064994438,0.606045775,0.576769019,0.366503414,9.70E-15,1,0.674148126,0.119671195,0.417748025,0.879175775,0.710475398,0.28884168,0.011309553,1,0.495691399,0.150487347,0.18302735,0.77172125
0.379765957,0.117255656,0.16735485,0.619375525,0.21046123,0.101883337,0.044339165,0.434660525,0.437771466,0.376852157,2.70E-16,1,0.488574899,0.131231086,0.2278114,0.7358299,0.53210253,0.330576975,5.93E-06,1,0.408301078,0.146052868,0.120365975,0.690705225
0.484500755,0.092369352,0.30715185,0.6664615,0.660145064,0.11677112,0.416550375,0.870525975,0.276615215,0.325696864,7.59E-18,0.999975075,0.469198698,0.129439439,0.207729775,0.71112155,0.495973064,0.352233597,5.61E-07,1,0.336472139,0.161129676,0.047809675,0.6636128
0.535252217,0.07191165,0.3937571,0.67483535,0.92412765,0.046058195,0.815955625,0.988672075,0.259205443,0.362921223,6.81E-18,1,0.098124576,0.062834467,0.009200784,0.244454125,0.191160317,0.280884565,1.12E-17,0.9886317,0.134651108,0.120611306,0.001969438,0.43964815
0.460387028,0.105368414,0.255417525,0.66771225,0.455115757,0.113552752,0.239044075,0.678002,0.394530057,0.370513194,1.08E-13,1,0.382400142,0.123639288,0.141777575,0.6207081,0.651536251,0.311962671,0.000695453,1,0.483576221,0.162081801,0.148690575,0.782632125
0.634099809,0.083976524,0.460778975,0.7872717,0.856730682,0.101237072,0.616555475,0.9904574,0.129441913,0.217990537,6.73E-25,0.8732586,0.480154865,0.115909037,0.246457925,0.69859255,0.49648964,0.358468306,2.49E-07,1,0.413331715,0.206851517,0.04491337,0.825673525
0.31562952,0.10795506,0.124634275,0.543000375,0.196410889,0.081597154,0.06199904,0.3760761,0.439109062,0.405209834,7.85E-18,1,0.278206946,0.118251887,0.069493333,0.525624325,0.275422054,0.294229036,5.39E-12,0.993959625,0.278367752,0.138568586,0.037139865,0.5646057
0.191062284,0.067091513,0.07605157,0.333666575,0.783759835,0.078713214,0.613180225,0.91938305,0.480716373,0.4174524,1.49E-13,1,0.195337736,0.098960455,0.030427785,0.407988,0.35274615,0.351652656,1.82E-11,1,0.24213607,0.172011752,0.010060045,0.643660475
0.391487705,0.120015711,0.17406585,0.63872045,0.5475484,0.149573778,0.2573759,0.8328012,0.695528974,0.340285032,6.55E-08,1,0.61265222,0.11258132,0.37255475,0.81139325,0.899846911,0.151672886,0.47001935,1,0.673607382,0.141097857,0.363231175,0.9095515
0.393021878,0.082321895,0.23739135,0.55842935,0.833432011,0.085779047,0.64217295,0.967710175,0.379364934,0.382987582,8.65E-14,1,0.342329858,0.113027791,0.124925325,0.5664932,0.438626055,0.350961078,1.71E-07,1,0.303434376,0.170595676,0.027706,0.66699965
0.230240117,0.072611565,0.10030745,0.382036225,0.718137838,0.099332471,0.5057148,0.893154475,0.491519164,0.41118231,1.09E-13,1,0.267845226,0.112955316,0.062881943,0.501029025,0.312072957,0.318834049,1.34E-09,0.999993,0.334707027,0.210266163,0.022393923,0.812111375
0.630542842,0.078475824,0.4705229,0.77501515,0.8665537,0.074101895,0.694780825,0.976473375,0.256879229,0.342341392,3.02E-18,1,0.269819009,0.105548274,0.076425375,0.487123475,0.428935654,0.365873407,2.80E-09,1,0.28617492,0.176587357,0.017307098,0.669815825
0.424658464,0.094940626,0.246356775,0.617754525,0.499384947,0.104815416,0.296937775,0.705576025,0.384226121,0.380315428,8.67E-15,1,0.35544478,0.129285233,0.108323225,0.60829225,0.380276553,0.340597612,6.98E-09,0.999992,0.253834416,0.137171486,0.02851269,0.542741375
0.588404708,0.078620101,0.4313566,0.738501225,0.907280845,0.069330134,0.737917375,0.99485315,0.230532091,0.323792339,6.89E-21,0.999997,0.318349963,0.104580765,0.121517875,0.533745075,0.393835559,0.352979846,2.73E-09,0.999999,0.29951849,0.185674521,0.0185331,0.70784075
0.469746828,0.091304762,0.291738925,0.647097225,0.553870648,0.102600655,0.34952365,0.7514263,0.206468753,0.296683135,1.29E-17,0.9997963,0.300244451,0.122336406,0.074867653,0.548237175,0.388280442,0.336629432,2.03E-09,0.999958,0.305091667,0.157072769,0.036854,0.6324942
0.533013448,0.079838063,0.376078225,0.68602035,0.793444974,0.08719078,0.604404225,0.940045525,0.174669678,0.277734908,1.03E-19,0.999266325,0.301875768,0.117438354,0.082135808,0.536550675,0.290483199,0.315965177,1.21E-10,0.99932615,0.238522369,0.148761547,0.017294723,0.5708117
0.445840714,0.081314614,0.28771265,0.60300355,0.807005181,0.073971257,0.644753,0.93132105,0.504530425,0.409367743,9.74E-11,1,0.190295129,0.09645469,0.032230078,0.400033575,0.393579483,0.354195763,6.64E-10,0.999998,0.260047237,0.168342657,0.01310012,0.632123925
0.490460035,0.088332274,0.31606305,0.6607196,0.585808014,0.106183892,0.3723693,0.788563,0.199730307,0.289544226,6.55E-19,0.99923925,0.311310546,0.123885769,0.083727035,0.55628765,0.345132184,0.321725089,8.42E-10,0.99954615,0.329172486,0.16734518,0.042142388,0.677355725
0.570128544,0.080528834,0.4112283,0.723143575,0.726714578,0.085743259,0.548085575,0.880669275,0.268043418,0.348849482,1.17E-16,1,0.21587859,0.104389205,0.03890905,0.438291675,0.283331988,0.316089674,2.50E-12,0.998940425,0.233017292,0.14951529,0.014885223,0.56943875
0.337932274,0.081509259,0.18794295,0.501858475,0.807095614,0.129392905,0.503123325,0.9836735,0.147009388,0.237361249,5.05E-25,0.957667975,0.535306334,0.12338939,0.28377525,0.761799475,0.27286655,0.304463327,2.48E-08,0.999947,0.377183323,0.226401389,0.030246983,0.860974875
0.461403465,0.10599307,0.25671635,0.67148865,0.413689941,0.113230533,0.200796625,0.642469725,0.387790099,0.367335658,3.09E-15,1,0.421868742,0.131101063,0.162633325,0.669856325,0.5498205,0.341159981,8.41E-06,1,0.374285887,0.152394759,0.081993795,0.673689075
0.53235687,0.077536817,0.37830285,0.6815019,0.848798037,0.068324998,0.696506,0.959259575,0.366081068,0.392359593,3.66E-14,1,0.181376469,0.091237402,0.029247055,0.378372125,0.321588655,0.337778459,5.94E-12,0.999964025,0.222429009,0.157526761,0.008912127,0.58735305
0.452739139,0.079554777,0.29986625,0.608579125,0.902400867,0.071797275,0.727237275,0.993817025,0.320033643,0.368839329,6.14E-16,1,0.315609445,0.104426426,0.117087675,0.525365675,0.360986339,0.339921976,1.12E-08,0.999998,0.284246904,0.181035814,0.016757593,0.694690075
