"","ParticipantID","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","friend_name","Sex","ID"
"24",458,6,6,7,5,2,4,4,4,5,4,5,2,-1,2,-1,2,3,2,2,5,4,5,4,3,1,3,4,3,5,5,6,5,6,5,5,6,5,5,6,5,4,6,5,4,5,6,6,5,5,4,7,5,2,5,6,4,6,6,3,6,3,3,2,6,6,4,5,6,4,5,3,3,2,7,3,1,3,6,"余","Female","phase_015_subj_27"
"25",201,4,4,3,3,2,4,4,4,5,5,4,1,-1,-1,1,-3,1,2,2,4,4,5,5,4,4,5,4,4,3,5,6,5,5,5,6,5,6,7,4,5,5,6,4,4,3,6,4,4,3,3,5,4,3,6,3,4,5,6,3,3,3,6,4,6,5,5,6,5,5,5,5,5,3,6,3,5,2,6,"姜","Male",NA
"26",110,5,5,5,6,4,3,4,4,5,4,5,1,-1,2,2,-1,2,2,2,4,4,5,4,3,4,4,5,4,5,4,6,4,5,5,4,5,6,6,4,6,3,4,5,4,5,2,4,5,4,5,5,3,6,5,5,4,5,6,4,5,4,6,2,5,7,3,7,7,7,5,4,6,3,6,7,5,5,6,"王","Male","phase_015_subj_11"
"27",448,6,6,6,6,5,5,2,4,4,4,5,1,1,2,2,1,2,2,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,3,5,5,5,5,3,5,7,5,7,5,5,5,3,5,5,5,5,3,3,3,5,3,5,3,5,3,5,3,5,3,5,7,1,3,5,3,5,3,5,"罗","Female","phase_015_subj_26"
"28",672,6,6,7,6,5,4,5,4,5,5,5,2,1,2,2,2,3,2,2,5,4,5,4,4,4,4,4,5,4,6,6,7,7,4,7,7,6,8,4,6,4,7,5,6,6,6,6,5,6,5,5,6,6,7,5,7,6,6,2,6,3,6,5,6,7,6,6,6,6,7,6,6,3,7,7,6,6,7,"张","Male","phase_015_subj_45"
"29",6,5,4,5,5,6,5,4,4,4,4,5,-2,-1,2,2,-1,1,2,1,5,5,4,4,5,4,4,5,4,4,6,5,3,6,4,5,5,4,6,5,3,6,5,4,2,5,3,3,2,5,3,6,3,3,6,4,4,5,4,2,5,6,5,3,6,5,5,6,5,5,6,4,5,6,5,5,6,3,5,"黄","Male","phase_015_subj_1"
"30",430,5,4,5,5,6,4,4,4,5,5,5,-1,-1,1,2,-2,2,2,1,4,4,4,4,5,4,5,4,5,4,6,5,3,5,5,4,4,4,5,6,2,5,6,5,3,6,3,6,4,5,2,6,3,3,5,5,4,5,5,3,5,5,6,2,5,7,5,6,5,5,6,5,5,6,5,5,5,3,6,"李","Male","phase_015_subj_25"
"31",76,5,5,6,4,3,4,3,4,4,4,5,2,-1,2,1,2,1,3,2,5,4,5,4,4,3,4,3,4,4,6,8,7,7,6,7,7,6,8,4,5,4,6,5,3,6,5,6,5,5,4,5,4,6,4,5,5,5,6,3,6,4,5,5,6,5,7,6,5,3,4,5,3,3,4,3,6,3,6,"肖","Female","phase_015_subj_7"
"32",691,6,5,7,5,7,5,5,4,4,5,5,-3,-1,1,1,-3,3,2,3,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,4,4,4,5,5,2,6,5,5,3,6,2,4,3,5,2,5,2,3,6,5,4,5,4,3,6,6,5,3,6,5,5,7,6,5,7,5,5,6,6,5,5,3,6,"林","Male","phase_015_subj_48"
"33",654,4,5,5,3,2,4,2,3,4,4,4,-1,2,1,-2,-3,1,2,2,4,3,5,4,3,3,3,2,4,3,6,6,4,5,4,4,6,7,6,4,5,5,3,3,3,4,1,3,2,2,3,4,3,2,4,2,6,4,2,2,3,3,3,3,4,3,5,3,7,6,3,6,3,4,4,5,5,1,3,"李","Male","phase_015_subj_43"
"34",67,3,3,5,2,2,4,2,3,3,4,4,2,-1,-1,3,1,1,1,2,4,2,5,2,2,2,5,2,2,5,7,8,3,7,8,2,7,3,8,5,2,2,4,5,3,6,3,3,3,5,2,4,2,2,3,5,2,5,2,2,2,6,5,3,6,3,6,3,7,3,5,7,3,2,3,2,7,4,5,"杨","Male","phase_015_subj_6"
"35",599,3,2,2,1,1,3,2,2,3,4,4,-2,1,-1,2,-1,1,1,2,4,2,5,2,2,4,4,3,4,4,4,6,7,7,5,6,4,6,6,5,3,3,4,2,2,5,5,4,3,3,3,6,6,3,3,3,4,3,3,3,3,2,2,3,5,2,4,5,5,7,3,5,4,3,2,3,3,3,4,"李","Male","phase_015_subj_40"
"36",322,5,5,6,4,3,5,4,4,5,5,4,1,1,2,2,-1,1,2,1,4,3,5,3,2,5,5,4,5,4,6,7,7,7,6,7,6,7,8,5,5,5,5,6,3,5,6,5,5,4,3,6,5,4,3,5,5,4,5,3,3,3,2,4,5,3,6,5,5,7,5,6,5,3,3,3,2,3,3,"吴","Female","phase_015_subj_19"
"37",513,7,6,6,6,6,2,3,4,2,2,5,2,1,1,1,2,2,2,1,5,4,5,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,5,5,5,4,6,5,3,5,5,6,5,5,2,5,4,4,5,5,5,6,3,3,3,3,3,3,5,3,6,5,5,3,3,5,4,3,3,2,5,3,5,"亓","Female","phase_015_subj_30"
"38",369,4,4,5,4,3,5,3,2,4,3,5,-1,-1,-1,-1,1,1,1,1,4,4,5,5,4,4,4,4,4,4,6,6,6,7,6,7,7,7,7,5,3,5,4,4,3,4,2,4,3,4,3,4,5,3,5,4,4,4,4,3,3,3,3,3,5,3,4,4,6,6,4,4,5,3,4,2,4,3,4,"武","Female","phase_015_subj_20"
"39",12,7,7,7,7,7,5,4,4,5,5,5,3,-1,3,1,-1,1,3,1,5,4,5,5,4,3,4,4,4,4,5,5,4,8,7,3,7,5,5,6,7,5,5,4,2,6,1,5,4,4,2,4,3,2,5,5,6,5,3,3,4,3,7,5,6,3,7,7,7,7,7,7,4,4,6,3,7,4,6,"黄","Male","phase_015_subj_2"
"40",568,6,5,6,4,3,4,3,4,4,5,4,3,-1,2,1,2,2,3,2,5,4,5,4,4,3,4,3,4,4,6,8,7,7,6,6,7,6,7,4,5,4,6,5,3,6,3,6,5,5,3,6,4,5,4,5,5,5,6,3,5,5,5,5,7,5,6,6,5,5,5,5,3,3,5,2,5,3,6,"张","Female","phase_015_subj_34"
"41",103,3,2,2,1,3,4,2,5,5,5,4,1,2,1,3,1,2,2,3,4,4,5,5,5,4,4,5,4,5,6,5,7,7,6,5,8,5,6,5,2,3,2,2,3,5,1,6,3,3,3,6,3,2,3,4,4,3,2,2,5,3,3,2,5,5,6,7,7,6,5,5,4,2,5,3,7,3,4,"李","Female","phase_015_subj_10"
"42",23,5,6,6,5,3,4,4,4,4,4,4,2,-1,1,2,1,1,1,2,5,4,5,5,4,3,4,5,4,4,5,6,4,6,4,4,6,4,6,6,6,6,6,6,5,6,3,6,6,5,4,3,4,6,6,6,6,6,6,3,5,3,3,3,6,6,5,5,5,5,5,6,5,5,6,3,2,5,5,"潘","Female","phase_015_subj_4"
"43",526,6,4,5,5,6,5,2,5,5,5,4,2,2,2,2,1,2,2,2,5,5,4,4,4,4,4,4,4,4,8,7,6,7,7,6,8,8,8,6,3,3,5,6,3,6,2,5,2,3,3,4,3,5,5,5,3,5,2,2,3,2,3,2,6,3,6,4,4,7,6,7,4,1,3,3,6,3,5,"顾","Female","phase_015_subj_31"
"44",417,5,4,6,6,5,4,4,5,4,5,4,-2,-2,1,2,-3,2,1,1,4,5,5,4,4,5,5,4,4,5,5,5,4,6,4,4,5,4,5,5,1,6,5,5,2,5,2,2,4,5,3,6,2,3,6,5,4,5,4,3,5,6,6,3,7,5,5,5,6,6,5,5,6,6,5,5,5,3,7,"陈","Male","phase_015_subj_24"
"45",201,4,4,3,3,1,4,4,4,5,4,4,2,-1,-1,1,-2,1,2,2,4,4,5,5,4,4,5,4,4,3,5,6,5,5,5,6,5,6,6,4,5,5,6,4,3,3,6,5,4,3,3,5,4,3,6,3,4,5,5,3,3,3,3,5,5,5,5,5,6,5,5,5,5,3,6,3,5,4,5,"姜","Male","phase_015_subj_15"
