Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
友善,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/4.png,f,material/104.png,f,f,友善,友爱,self,self,self,1,1,1,material/104.png,,,,,,,,,,,,,,,,,0,50,50,3,,,,,,,,,,,,,,,4,1.54252910614,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
公平,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/7.png,j,material/107.png,j,j,公平,公正,friend,friend,friend,1,1,1,material/107.png,,,,,,,,,,,,,,,,,0,51,51,6,,,,,,,,,,,,,,,5,1.89202022552,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
白痴,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/49.png,j,material/149.png,j,j,痴呆,痴呆,friend,friend,friend,2,2,2,material/49.png,,,,,,,,,,,,,,,,,0,52,52,48,,,,,,,,,,,,,,,1,1.95877313614,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
刻板,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/47.png,j,material/147.png,j,j,死板,死板,friend,friend,friend,2,2,2,material/47.png,,,,,,,,,,,,,,,,,0,53,53,46,,,,,,,,,,,,,,,2,2.00830101967,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
犹豫,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/78.png,f,material/181.png,f,f,厌学,草率,self,self,self,2,2,2,material/184.png,,,,,,,,,,,,,,,,,0,54,54,80,,,,,,,,,,,,,,,3,2.07438898087,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
迷糊,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/51.png,j,material/151.png,j,j,糊涂,糊涂,friend,friend,friend,2,2,2,material/51.png,,,,,,,,,,,,,,,,,0,55,55,50,,,,,,,,,,,,,,,1,2.0760641098,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
爽约,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/44.png,j,material/144.png,j,j,爽约,失信,friend,friend,friend,1,1,1,material/144.png,,,,,,,,,,,,,,,,,0,56,56,43,,,,,,,,,,,,,,,1,1.45910716057,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
薄弱,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/82.png,f,material/183.png,f,f,毛糙,窝囊,self,self,self,2,2,2,material/178.png,,,,,,,,,,,,,,,,,0,57,57,82,,,,,,,,,,,,,,,1,1.59318900108,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
机灵,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/19.png,j,material/119.png,j,j,灵活,灵活,friend,friend,friend,2,2,2,material/19.png,,,,,,,,,,,,,,,,,0,58,58,18,,,,,,,,,,,,,,,4,1.90822005272,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
差生,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/81.png,j,material/179.png,j,j,呆笨,无助,friend,friend,friend,2,2,2,material/83.png,,,,,,,,,,,,,,,,,0,59,59,78,,,,,,,,,,,,,,,1,0.976213932037,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
聪颖,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/17.png,j,material/117.png,j,j,聪明,聪明,friend,friend,friend,2,2,2,material/17.png,,,,,,,,,,,,,,,,,0,60,60,16,,,,,,,,,,,,,,,5,1.508425951,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
毛糙,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/179.png,j,material/178.png,j,j,顽愚,差生,friend,friend,friend,2,2,2,material/84.png,,,,,,,,,,,,,,,,,0,61,61,77,,,,,,,,,,,,,,,1,1.04220509529,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
笨蛋,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/48.png,j,material/148.png,j,j,愚蠢,愚蠢,friend,friend,friend,2,2,2,material/48.png,,,,,,,,,,,,,,,,,0,62,62,47,,,,,,,,,,,,,,,1,0.966114044189,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
盲目,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/55.png,f,material/155.png,f,f,盲从,盲从,self,self,self,2,2,2,material/55.png,,,,,,,,,,,,,,,,,0,63,63,54,,,,,,,,,,,,,,,1,1.49160504341,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
撒谎,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/36.png,f,material/136.png,f,f,撒谎,说谎,self,self,self,1,1,1,material/136.png,,,,,,,,,,,,,,,,,0,64,64,35,,,,,,,,,,,,,,,2,1.37535810471,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
奸诈,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/42.png,f,material/142.png,f,f,奸诈,阴险,self,self,self,1,1,1,material/142.png,,,,,,,,,,,,,,,,,0,65,65,41,,,,,,,,,,,,,,,1,0.892241954803,,,,,,,,,moral_self_bias,23,19,59.9980831759,f,001,2018_Apr_02_1802,
