"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",398,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
"66",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","4","807",807,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"67",398,14,"<p style=""color:white; font-size: 35px;"">卑鄙</p>","negative","moral","卑鄙","4","931",931,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"68",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","4","569",569,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"69",398,14,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","4","612",612,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"70",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","4","1537",1537,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"71",398,14,"<p style=""color:white; font-size: 35px;"">黑心</p>","negative","moral","黑心","4","677",677,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"72",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","4","598",598,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"73",398,14,"<p style=""color:white; font-size: 35px;"">廉正</p>","positive","moral","廉正","4","592",592,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"74",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","4","684",684,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"75",398,14,"<p style=""color:white; font-size: 35px;"">不仁</p>","negative","moral","不仁","4","803",803,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"76",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","4","642",642,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"77",398,14,"<p style=""color:white; font-size: 35px;"">高尚</p>","positive","moral","高尚","4","595",595,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"78",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","4","747",747,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"79",398,14,"<p style=""color:white; font-size: 35px;"">正直</p>","positive","moral","正直","4","715",715,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"80",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","4","567",567,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"81",398,14,"<p style=""color:white; font-size: 35px;"">缺德</p>","negative","moral","缺德","4","606",606,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"82",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","4","785",785,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"83",398,14,"<p style=""color:white; font-size: 35px;"">不孝</p>","negative","moral","不孝","4","751",751,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"84",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","4","547",547,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
