word,Domain,Valence,Usage,Val_mean,Val_sd,Valence,freq_Chinese,freq_Cai
仁厚,morality,Positive,formal,7.445,1.363,Positive,5,NA
善良,morality,Positive,formal,8.056,1.118,Positive,91,38
善心,morality,Positive,formal,7.379,1.407,Positive,13,3
蛇蝎,morality,Negative,formal,2.238,1.186,Negative,NA,NA
失信,morality,Negative,formal,2.223,1.126,Negative,NA,2
势利,morality,Negative,formal,2.87,1.526,Negative,8,NA
守法,morality,Positive,formal,7.586,1.594,Positive,158,NA
守时,morality,Positive,formal,7.505,1.465,Positive,NA,NA
守信,morality,Positive,formal,7.775,1.309,Positive,9,NA
说谎,morality,Negative,EW_Interf1,2.682,1.264,Negative,25,58
素养,morality,Positive,EW_Interf2,6.645,1.582,Positive,29,7
贪腐,morality,Negative,formal,1.967,1.317,Negative,NA,NA
贪污,morality,Negative,formal,1.924,1.165,Negative,NA,NA
坦荡,morality,Positive,formal,7.332,1.338,Positive,11,NA
伪善,morality,Negative,formal,2.654,1.361,Negative,41,NA
文明,morality,Positive,formal,7.304,1.459,Positive,512,6
龌龊,morality,Negative,formal,1.957,1.135,Negative,19,NA
无耻,morality,Negative,formal,2.191,1.277,Negative,166,4
无赖,morality,Negative,formal,2.367,1.307,Negative,31,4
无私,morality,Positive,formal,7.757,1.672,Positive,49,2
侠义,morality,Positive,formal,7.626,1.358,Positive,15,NA
下流,morality,Negative,formal,2.014,1.071,Negative,55,2
小人,morality,Negative,formal,1.953,1.112,Negative,105,32
孝顺,morality,Positive,formal,7.813,1.257,Positive,18,NA
邪恶,morality,Negative,formal,2.033,1.209,Negative,23,20
虚假,morality,Negative,formal,2.498,1.219,Negative,87,NA
虚伪,morality,Negative,formal,2.205,1.076,Negative,147,NA
徇私,morality,Negative,EW_E,2.633,1.472,Negative,13,NA
义气,morality,Positive,formal,7.242,1.346,Positive,16,NA
阴毒,morality,Negative,formal,1.995,1.197,Negative,NA,NA
淫乱,morality,Negative,formal,1.827,1.14,Negative,9,NA
仗义,morality,Positive,formal,7.626,1.358,Positive,7,NA
正气,morality,Positive,formal,7.556,1.409,Positive,51,3
忠诚,morality,Positive,formal,7.718,1.186,Positive,108,12
忠良,morality,Positive,formal,7.716,1.322,Positive,10,NA
忠实,morality,Positive,EW_E,7.341,1.379,Positive,159,NA
忠义,morality,Positive,formal,7.818,1.09,Positive,15,NA
忠勇,morality,Positive,formal,7.681,1.362,Positive,8,NA
自私,morality,Negative,formal,2.449,1.243,Negative,63,19
罪恶,morality,Negative,formal,2.085,1.412,Negative,374,6
