"","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
"6793",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好我","nonmatch","j","nonmatch","j","1195",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6794",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏他","nonmatch","j","nonmatch","j","1110",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6795",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好他","nonmatch","j","nonmatch","j","958",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6796",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好我","nonmatch","j","nonmatch","j","1073",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6797",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏他","nonmatch","j","nonmatch","j","1019",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6798",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","j","nonmatch","f","940",0,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6799",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","f","match","f","999",1,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6800",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","979",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6801",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好他","nonmatch","j","nonmatch","j","1175",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6802",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","969",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
