Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
残虐,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/175.png,f,material/73.png,f,f,残虐,无情,self,self,self,1,1,1,material/73.png,,,,,,,,,,,,,,,,,0,37,37,85,,,,,,,,,,,,,,,2,1.17564415932,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
笨拙,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/60.png,f,material/160.png,f,f,粗拙,粗拙,self,self,self,2,2,2,material/60.png,,,,,,,,,,,,,,,,,0,38,38,59,,,,,,,,,,,,,,,2,1.02504205704,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
愚钝,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/56.png,f,material/156.png,f,f,愚昧,愚昧,self,self,self,2,2,2,material/56.png,,,,,,,,,,,,,,,,,0,39,39,55,,,,,,,,,,,,,,,2,1.07595014572,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
机智,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/16.png,j,material/116.png,j,j,睿智,睿智,friend,friend,friend,2,2,2,material/16.png,,,,,,,,,,,,,,,,,0,40,40,15,,,,,,,,,,,,,,,4,1.34224414825,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
笃行,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/31.png,f,material/131.png,f,f,笃学,笃学,self,self,self,2,2,2,material/31.png,,,,,,,,,,,,,,,,,0,41,41,30,,,,,,,,,,,,,,,4,0.858040094376,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
坚毅,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/10.png,j,material/110.png,j,j,坚毅,顽强,friend,friend,friend,1,1,1,material/110.png,,,,,,,,,,,,,,,,,0,42,42,9,,,,,,,,,,,,,,,4,0.733459949493,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
忠贞,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/14.png,j,material/114.png,j,j,忠贞,爱国,friend,friend,friend,1,1,1,material/114.png,,,,,,,,,,,,,,,,,0,43,43,13,,,,,,,,,,,,,,,4,1.17715406418,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
忠心,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/12.png,f,material/112.png,f,f,忠心,忠诚,self,self,self,1,1,1,material/112.png,,,,,,,,,,,,,,,,,0,44,44,11,,,,,,,,,,,,,,,4,1.12482905388,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
进取,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/30.png,f,material/130.png,f,f,上进,上进,self,self,self,2,2,2,material/30.png,,,,,,,,,,,,,,,,,0,45,45,29,,,,,,,,,,,,,,,5,0.882699966431,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
高效,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/169.png,f,material/171.png,f,f,颖悟,颖悟,self,self,self,2,2,2,material/169.png,,,,,,,,,,,,,,,,,0,46,46,70,,,,,,,,,,,,,,,4,1.15902400017,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
