"","graph","type","node","measure","value"
"66","graph 1",NA,"hsns_5","Betweenness",177
"67","graph 1",NA,"hsns_6","Betweenness",337
"68","graph 1",NA,"hsns_7","Betweenness",47
"69","graph 1",NA,"hsns_8","Betweenness",34
"70","graph 1",NA,"hsns_9","Betweenness",392
"71","graph 1",NA,"hsns_10","Betweenness",86
"72","graph 1",NA,"MorIden_1","Betweenness",359
"73","graph 1",NA,"MorIden_2","Betweenness",98
"74","graph 1",NA,"MorIden_3","Betweenness",88
"75","graph 1",NA,"MorIden_4","Betweenness",37
"76","graph 1",NA,"MorIden_5","Betweenness",354
"77","graph 1",NA,"MorIden_6","Betweenness",251
"78","graph 1",NA,"MorIden_7","Betweenness",121
"79","graph 1",NA,"MorIden_8","Betweenness",160
"80","graph 1",NA,"MorIden_9","Betweenness",271
"81","graph 1",NA,"MorIden_10","Betweenness",276
"82","graph 1",NA,"moralSeImag_1","Betweenness",206
"83","graph 1",NA,"moralSeImag_2","Betweenness",54
"84","graph 1",NA,"moralSeImag_3","Betweenness",275
"85","graph 1",NA,"moralSeImag_4","Betweenness",84
"86","graph 1",NA,"moralSeImag_5","Betweenness",118
"87","graph 1",NA,"moralSeImag_6","Betweenness",225
"88","graph 1",NA,"moralSeImag_7","Betweenness",27
"89","graph 1",NA,"moralSeImag_8","Betweenness",190
"90","graph 1",NA,"moralSeImag_9","Betweenness",101
"91","graph 1",NA,"sde_1","Betweenness",103
"92","graph 1",NA,"sde_2","Betweenness",61
"93","graph 1",NA,"sde_3","Betweenness",185
"94","graph 1",NA,"sde_4","Betweenness",502
"95","graph 1",NA,"sde_5","Betweenness",239
"96","graph 1",NA,"sde_6","Betweenness",250
"97","graph 1",NA,"sde_7","Betweenness",39
"98","graph 1",NA,"sde_8","Betweenness",122
"99","graph 1",NA,"sde_9","Betweenness",323
"100","graph 1",NA,"sde_10","Betweenness",247
"101","graph 1",NA,"sde_11","Betweenness",451
"102","graph 1",NA,"sde_12","Betweenness",329
"103","graph 1",NA,"sde_13","Betweenness",500
"104","graph 1",NA,"sde_14","Betweenness",170
"105","graph 1",NA,"sde_15","Betweenness",321
"106","graph 1",NA,"sde_16","Betweenness",246
"107","graph 1",NA,"sde_17","Betweenness",341
"108","graph 1",NA,"sde_18","Betweenness",92
"109","graph 1",NA,"sde_19","Betweenness",411
"110","graph 1",NA,"sde_20","Betweenness",319
"111","graph 1",NA,"IM_1","Betweenness",350
"112","graph 1",NA,"IM_2","Betweenness",223
"113","graph 1",NA,"IM_3","Betweenness",327
"114","graph 1",NA,"IM_4","Betweenness",346
"115","graph 1",NA,"IM_5","Betweenness",3
"116","graph 1",NA,"IM_6","Betweenness",154
"117","graph 1",NA,"IM_7","Betweenness",106
"118","graph 1",NA,"IM_8","Betweenness",125
"119","graph 1",NA,"IM_9","Betweenness",104
"120","graph 1",NA,"IM_10","Betweenness",48
"121","graph 1",NA,"IM_11","Betweenness",107
"122","graph 1",NA,"IM_12","Betweenness",146
"123","graph 1",NA,"IM_13","Betweenness",0
"124","graph 1",NA,"IM_14","Betweenness",149
"125","graph 1",NA,"IM_15","Betweenness",581
"126","graph 1",NA,"IM_16","Betweenness",261
"127","graph 1",NA,"IM_17","Betweenness",159
"128","graph 1",NA,"IM_18","Betweenness",9
"129","graph 1",NA,"IM_19","Betweenness",196
"130","graph 1",NA,"IM_20","Betweenness",130
"131","graph 1",NA,"Ability","Betweenness",433
"132","graph 1",NA,"Physical","Betweenness",108
"133","graph 1",NA,"Material","Betweenness",215
"134","graph 1",NA,"Social","Betweenness",384
"135","graph 1",NA,"Moral","Betweenness",322
"136","graph 1",NA,"SES2","Betweenness",127
"137","graph 1",NA,"SES1","Betweenness",36
"138","graph 1",NA,"ability_IAT","Betweenness",147
"139","graph 1",NA,"moral_IAT","Betweenness",0
"140","graph 1",NA,"ability_ALT_rt_val","Betweenness",169
"141","graph 1",NA,"moral_ALT_rt_val","Betweenness",47
"142","graph 1",NA,"ability_ALT_rt_ref","Betweenness",529
"143","graph 1",NA,"moral_ALT_rt_ref","Betweenness",167
"144","graph 1",NA,"ability_SRET_EW","Betweenness",165
"145","graph 1",NA,"moral_SRET_EW","Betweenness",6
"146","graph 1",NA,"ability_ALT_d_val","Betweenness",14
"147","graph 1",NA,"moral_ALT_d_val","Betweenness",2
"148","graph 1",NA,"ability_ALT_d_ref","Betweenness",386
"149","graph 1",NA,"moral_ALT_d_ref","Betweenness",317
"150","graph 1",NA,"selfclarity_1","Closeness",0.000188374833264822
"151","graph 1",NA,"selfclarity_2","Closeness",0.000175866932153949
"152","graph 1",NA,"selfclarity_3","Closeness",0.000190769460192846
"153","graph 1",NA,"selfclarity_4","Closeness",0.000215762900677859
"154","graph 1",NA,"selfclarity_5","Closeness",0.000192980840992651
"155","graph 1",NA,"selfclarity_6","Closeness",0.000188596632881076
"156","graph 1",NA,"selfclarity_7","Closeness",0.000177024970987447
"157","graph 1",NA,"selfclarity_8","Closeness",0.000184912185170686
"158","graph 1",NA,"selfclarity_9","Closeness",0.000170625380386035
"159","graph 1",NA,"selfclarity_10","Closeness",0.000195709225401134
"160","graph 1",NA,"selfclarity_11","Closeness",0.000198389003635576
"161","graph 1",NA,"selfclarity_12","Closeness",0.000202061305112728
"162","graph 1",NA,"LOT_1","Closeness",0.000206808007962398
"163","graph 1",NA,"LOT_2","Closeness",0.000181417802345639
"164","graph 1",NA,"LOT_3","Closeness",0.000208428001522427
"165","graph 1",NA,"LOT_4","Closeness",0.000181963727759992
"166","graph 1",NA,"LOT_5","Closeness",0.00018557387589358
"167","graph 1",NA,"LOT_6","Closeness",0.00019362499705456
"168","graph 1",NA,"IPC_1","Closeness",0.000240579660753366
"169","graph 1",NA,"IPC_2","Closeness",0.000226716781839085
"170","graph 1",NA,"IPC_3","Closeness",0.000231996331814512
"171","graph 1",NA,"IPC_4","Closeness",0.000209169296692523
"172","graph 1",NA,"IPC_5","Closeness",0.000218845491813132
"173","graph 1",NA,"IPC_6","Closeness",0.00023593151017395
"174","graph 1",NA,"IPC_7","Closeness",0.000234878129291022
"175","graph 1",NA,"IPC_8","Closeness",0.000212646084125621
"176","graph 1",NA,"ses_1","Closeness",0.000202383153192685
"177","graph 1",NA,"ses_2","Closeness",0.00019973818618213
"178","graph 1",NA,"ses_3","Closeness",0.00018398815858679
"179","graph 1",NA,"ses_4","Closeness",0.000201125585595853
"180","graph 1",NA,"ses_5","Closeness",0.000200163546544937
"181","graph 1",NA,"ses_6","Closeness",0.000194483692990605
"182","graph 1",NA,"ses_7","Closeness",0.000200685827440056
"183","graph 1",NA,"ses_8","Closeness",0.000178691917924389
"184","graph 1",NA,"ses_9","Closeness",0.000195118409957759
"185","graph 1",NA,"ses_10","Closeness",0.000189054613393321
"186","graph 1",NA,"coreself_1","Closeness",0.000202210802850917
"187","graph 1",NA,"coreself_2","Closeness",0.000213422358446223
"188","graph 1",NA,"coreself_3","Closeness",0.00020437546516908
"189","graph 1",NA,"coreself_4","Closeness",0.000214658873573759
"190","graph 1",NA,"coreself_5","Closeness",0.000199834577188812
"191","graph 1",NA,"coreself_6","Closeness",0.00019802466571194
"192","graph 1",NA,"coreself_7","Closeness",0.000199349241405488
"193","graph 1",NA,"coreself_8","Closeness",0.000203901949098123
"194","graph 1",NA,"coreself_9","Closeness",0.000208590544586702
"195","graph 1",NA,"coreself_10","Closeness",0.000193334669819306
"196","graph 1",NA,"NPI1","Closeness",0.000183932281874506
"197","graph 1",NA,"NPI2","Closeness",0.000176477804569506
"198","graph 1",NA,"NPI3","Closeness",0.000204800132667731
"199","graph 1",NA,"NPI4","Closeness",0.000184558915180936
"200","graph 1",NA,"NPI5","Closeness",0.000173254733658713
"201","graph 1",NA,"NPI6","Closeness",0.000194756506193954
"202","graph 1",NA,"NPI7","Closeness",0.000203809135449959
"203","graph 1",NA,"NPI8","Closeness",0.000163889922532989
"204","graph 1",NA,"NPI9","Closeness",0.000183013276841766
"205","graph 1",NA,"NPI10","Closeness",0.000173598221829401
"206","graph 1",NA,"NPI11","Closeness",0.000172367226073804
"207","graph 1",NA,"NPI12","Closeness",0.000138085017493367
"208","graph 1",NA,"NPI13","Closeness",0.000154444607943673
"209","graph 1",NA,"NPI14","Closeness",0.00016543511836058
"210","graph 1",NA,"NPI15","Closeness",0.000205846436384449
"211","graph 1",NA,"hsns_1","Closeness",0.000175276268059605
"212","graph 1",NA,"hsns_2","Closeness",0.000228989560588403
"213","graph 1",NA,"hsns_3","Closeness",0.000213880222588502
"214","graph 1",NA,"hsns_4","Closeness",0.000217777223788122
"215","graph 1",NA,"hsns_5","Closeness",0.000211458449432849
"216","graph 1",NA,"hsns_6","Closeness",0.00020513106012507
"217","graph 1",NA,"hsns_7","Closeness",0.000188544098895367
"218","graph 1",NA,"hsns_8","Closeness",0.000186424511434599
"219","graph 1",NA,"hsns_9","Closeness",0.000208631812226579
"220","graph 1",NA,"hsns_10","Closeness",0.000185028016351752
"221","graph 1",NA,"MorIden_1","Closeness",0.000195581287930042
"222","graph 1",NA,"MorIden_2","Closeness",0.000192638820069793
"223","graph 1",NA,"MorIden_3","Closeness",0.000178079026780907
"224","graph 1",NA,"MorIden_4","Closeness",0.000172477180485368
"225","graph 1",NA,"MorIden_5","Closeness",0.000203391776529268
"226","graph 1",NA,"MorIden_6","Closeness",0.000213906526599473
"227","graph 1",NA,"MorIden_7","Closeness",0.000200819624993321
"228","graph 1",NA,"MorIden_8","Closeness",0.000203470309579684
"229","graph 1",NA,"MorIden_9","Closeness",0.000209596931564449
"230","graph 1",NA,"MorIden_10","Closeness",0.000202855580474444
"231","graph 1",NA,"moralSeImag_1","Closeness",0.000180419824829683
"232","graph 1",NA,"moralSeImag_2","Closeness",0.000170836946291703
"233","graph 1",NA,"moralSeImag_3","Closeness",0.000192003675841731
"234","graph 1",NA,"moralSeImag_4","Closeness",0.000174855800978333
"235","graph 1",NA,"moralSeImag_5","Closeness",0.000185349726550343
"236","graph 1",NA,"moralSeImag_6","Closeness",0.000190056152920681
"237","graph 1",NA,"moralSeImag_7","Closeness",0.000175951068286027
"238","graph 1",NA,"moralSeImag_8","Closeness",0.000189510541737245
"239","graph 1",NA,"moralSeImag_9","Closeness",0.000176340060637388
"240","graph 1",NA,"sde_1","Closeness",0.000206077021343241
"241","graph 1",NA,"sde_2","Closeness",0.000198180068891647
"242","graph 1",NA,"sde_3","Closeness",0.000215961760077638
"243","graph 1",NA,"sde_4","Closeness",0.000227111313970759
"244","graph 1",NA,"sde_5","Closeness",0.000210744135614726
"245","graph 1",NA,"sde_6","Closeness",0.000224485129557954
"246","graph 1",NA,"sde_7","Closeness",0.000204202094488915
"247","graph 1",NA,"sde_8","Closeness",0.000205199708485101
"248","graph 1",NA,"sde_9","Closeness",0.00022918971918862
"249","graph 1",NA,"sde_10","Closeness",0.000224394597207382
"250","graph 1",NA,"sde_11","Closeness",0.000235187605917608
"251","graph 1",NA,"sde_12","Closeness",0.000225190922504657
"252","graph 1",NA,"sde_13","Closeness",0.000235138585678568
"253","graph 1",NA,"sde_14","Closeness",0.000209493929707956
"254","graph 1",NA,"sde_15","Closeness",0.00022188042246135
"255","graph 1",NA,"sde_16","Closeness",0.000219629242569157
"256","graph 1",NA,"sde_17","Closeness",0.000230590029434446
"257","graph 1",NA,"sde_18","Closeness",0.00020085959091508
"258","graph 1",NA,"sde_19","Closeness",0.000220706711172875
"259","graph 1",NA,"sde_20","Closeness",0.000220730976615381
"260","graph 1",NA,"IM_1","Closeness",0.000228355508000966
"261","graph 1",NA,"IM_2","Closeness",0.000214492766762843
"262","graph 1",NA,"IM_3","Closeness",0.000226301590919587
"263","graph 1",NA,"IM_4","Closeness",0.000216176752114527
"264","graph 1",NA,"IM_5","Closeness",0.000193853436858746
"265","graph 1",NA,"IM_6","Closeness",0.000193798247739001
"266","graph 1",NA,"IM_7","Closeness",0.000203585240206774
"267","graph 1",NA,"IM_8","Closeness",0.000209984206222873
"268","graph 1",NA,"IM_9","Closeness",0.000193485080798672
"269","graph 1",NA,"IM_10","Closeness",0.000174209702767106
"270","graph 1",NA,"IM_11","Closeness",0.000194473579173164
"271","graph 1",NA,"IM_12","Closeness",0.000199574163892101
"272","graph 1",NA,"IM_13","Closeness",0.00017252022473636
"273","graph 1",NA,"IM_14","Closeness",0.000194292212670785
"274","graph 1",NA,"IM_15","Closeness",0.000235189311347822
"275","graph 1",NA,"IM_16","Closeness",0.000203566204968476
"276","graph 1",NA,"IM_17","Closeness",0.000206110857172121
"277","graph 1",NA,"IM_18","Closeness",0.00016382167347119
"278","graph 1",NA,"IM_19","Closeness",0.000220563164123257
"279","graph 1",NA,"IM_20","Closeness",0.000199755886384888
"280","graph 1",NA,"Ability","Closeness",0.000227437834610202
"281","graph 1",NA,"Physical","Closeness",0.000213425186239415
"282","graph 1",NA,"Material","Closeness",0.000215697298987949
"283","graph 1",NA,"Social","Closeness",0.000224618777396879
"284","graph 1",NA,"Moral","Closeness",0.000216163383214859
"285","graph 1",NA,"SES2","Closeness",0.000194195310530771
"286","graph 1",NA,"SES1","Closeness",0.000189162406730463
"287","graph 1",NA,"ability_IAT","Closeness",0.000155593672898566
"288","graph 1",NA,"moral_IAT","Closeness",0.000142115632516094
"289","graph 1",NA,"ability_ALT_rt_val","Closeness",0.000154890857941721
"290","graph 1",NA,"moral_ALT_rt_val","Closeness",0.000126720522606527
"291","graph 1",NA,"ability_ALT_rt_ref","Closeness",0.000163352944204534
"292","graph 1",NA,"moral_ALT_rt_ref","Closeness",0.000131274205044829
"293","graph 1",NA,"ability_SRET_EW","Closeness",0.000191821447547046
"294","graph 1",NA,"moral_SRET_EW","Closeness",0.000181616691261033
"295","graph 1",NA,"ability_ALT_d_val","Closeness",0.000150574864768461
"296","graph 1",NA,"moral_ALT_d_val","Closeness",0.0001283443780405
"297","graph 1",NA,"ability_ALT_d_ref","Closeness",0.000158460707088476
"298","graph 1",NA,"moral_ALT_d_ref","Closeness",0.000135205025364894
"299","graph 1",NA,"selfclarity_1","Strength",0.936205984822425
"300","graph 1",NA,"selfclarity_2","Strength",1.12859932119167
"301","graph 1",NA,"selfclarity_3","Strength",0.76995022494042
"302","graph 1",NA,"selfclarity_4","Strength",1.04759265884621
"303","graph 1",NA,"selfclarity_5","Strength",1.0031865249643
"304","graph 1",NA,"selfclarity_6","Strength",1.0129991980215
"305","graph 1",NA,"selfclarity_7","Strength",0.793477012121518
"306","graph 1",NA,"selfclarity_8","Strength",1.0723452900625
"307","graph 1",NA,"selfclarity_9","Strength",0.940443888308441
"308","graph 1",NA,"selfclarity_10","Strength",0.889995572860782
"309","graph 1",NA,"selfclarity_11","Strength",1.09025425219973
"310","graph 1",NA,"selfclarity_12","Strength",1.14861345920767
"311","graph 1",NA,"LOT_1","Strength",0.874722545017631
"312","graph 1",NA,"LOT_2","Strength",0.91516346158385
"313","graph 1",NA,"LOT_3","Strength",1.08477386004081
"314","graph 1",NA,"LOT_4","Strength",0.879888038715815
"315","graph 1",NA,"LOT_5","Strength",1.01774762003035
"316","graph 1",NA,"LOT_6","Strength",0.690504275417997
"317","graph 1",NA,"IPC_1","Strength",1.32967913860298
"318","graph 1",NA,"IPC_2","Strength",0.890345981747551
"319","graph 1",NA,"IPC_3","Strength",1.1209332619519
"320","graph 1",NA,"IPC_4","Strength",0.725483866777354
"321","graph 1",NA,"IPC_5","Strength",0.997627259412673
"322","graph 1",NA,"IPC_6","Strength",1.11867257886486
"323","graph 1",NA,"IPC_7","Strength",1.19820178822045
"324","graph 1",NA,"IPC_8","Strength",0.80937502569631
"325","graph 1",NA,"ses_1","Strength",1.08988378788621
"326","graph 1",NA,"ses_2","Strength",0.894024125829914
"327","graph 1",NA,"ses_3","Strength",1.0104899247291
"328","graph 1",NA,"ses_4","Strength",0.93527275463017
"329","graph 1",NA,"ses_5","Strength",0.930283980080499
"330","graph 1",NA,"ses_6","Strength",1.0548175392581
"331","graph 1",NA,"ses_7","Strength",1.1004996658911
"332","graph 1",NA,"ses_8","Strength",0.632799885738714
"333","graph 1",NA,"ses_9","Strength",1.09345673845902
"334","graph 1",NA,"ses_10","Strength",0.889719969405126
"335","graph 1",NA,"coreself_1","Strength",1.17364046410183
"336","graph 1",NA,"coreself_2","Strength",1.21741555089022
"337","graph 1",NA,"coreself_3","Strength",1.15592701753933
"338","graph 1",NA,"coreself_4","Strength",1.05173908858409
"339","graph 1",NA,"coreself_5","Strength",0.959976930531442
"340","graph 1",NA,"coreself_6","Strength",1.19872633934492
"341","graph 1",NA,"coreself_7","Strength",1.23622811658799
"342","graph 1",NA,"coreself_8","Strength",1.17113411570793
"343","graph 1",NA,"coreself_9","Strength",1.05163920177409
"344","graph 1",NA,"coreself_10","Strength",0.95755648747917
"345","graph 1",NA,"NPI1","Strength",0.811258931870336
"346","graph 1",NA,"NPI2","Strength",1.1734550293691
"347","graph 1",NA,"NPI3","Strength",1.19372483448355
"348","graph 1",NA,"NPI4","Strength",1.0325776093251
"349","graph 1",NA,"NPI5","Strength",0.771764857176072
"350","graph 1",NA,"NPI6","Strength",0.924779084081124
"351","graph 1",NA,"NPI7","Strength",0.880738710921281
"352","graph 1",NA,"NPI8","Strength",0.714781058413004
"353","graph 1",NA,"NPI9","Strength",0.431518001839621
"354","graph 1",NA,"NPI10","Strength",1.03510537733584
"355","graph 1",NA,"NPI11","Strength",1.06762807401023
"356","graph 1",NA,"NPI12","Strength",0.221036562923332
"357","graph 1",NA,"NPI13","Strength",0.507754044493577
"358","graph 1",NA,"NPI14","Strength",0.420923333660918
"359","graph 1",NA,"NPI15","Strength",1.03794903544131
"360","graph 1",NA,"hsns_1","Strength",0.829913624952139
"361","graph 1",NA,"hsns_2","Strength",1.19010511156963
"362","graph 1",NA,"hsns_3","Strength",0.872001535523928
"363","graph 1",NA,"hsns_4","Strength",0.781429827481644
"364","graph 1",NA,"hsns_5","Strength",1.05818672320119
"365","graph 1",NA,"hsns_6","Strength",0.819574286089225
"366","graph 1",NA,"hsns_7","Strength",0.772277572524312
"367","graph 1",NA,"hsns_8","Strength",0.663016525257997
"368","graph 1",NA,"hsns_9","Strength",0.738538580987959
"369","graph 1",NA,"hsns_10","Strength",0.974171070591062
"370","graph 1",NA,"MorIden_1","Strength",0.937734783901432
"371","graph 1",NA,"MorIden_2","Strength",0.966532632886371
"372","graph 1",NA,"MorIden_3","Strength",0.440373722223232
"373","graph 1",NA,"MorIden_4","Strength",0.57529896852324
"374","graph 1",NA,"MorIden_5","Strength",1.16702888252892
"375","graph 1",NA,"MorIden_6","Strength",0.963256842013092
"376","graph 1",NA,"MorIden_7","Strength",1.04868924769858
"377","graph 1",NA,"MorIden_8","Strength",0.818580010549688
"378","graph 1",NA,"MorIden_9","Strength",0.966483511577233
"379","graph 1",NA,"MorIden_10","Strength",0.917613341528125
"380","graph 1",NA,"moralSeImag_1","Strength",1.16471232103248
"381","graph 1",NA,"moralSeImag_2","Strength",0.865366206629698
"382","graph 1",NA,"moralSeImag_3","Strength",1.1073027954687
"383","graph 1",NA,"moralSeImag_4","Strength",0.921546346423388
"384","graph 1",NA,"moralSeImag_5","Strength",1.01887146257068
"385","graph 1",NA,"moralSeImag_6","Strength",0.933072172430836
"386","graph 1",NA,"moralSeImag_7","Strength",1.10041742342038
"387","graph 1",NA,"moralSeImag_8","Strength",1.040150209577
"388","graph 1",NA,"moralSeImag_9","Strength",0.892897753822403
"389","graph 1",NA,"sde_1","Strength",0.779097536605343
"390","graph 1",NA,"sde_2","Strength",1.08910163189358
"391","graph 1",NA,"sde_3","Strength",0.987808002982724
"392","graph 1",NA,"sde_4","Strength",1.11052823202398
"393","graph 1",NA,"sde_5","Strength",1.03454360075621
"394","graph 1",NA,"sde_6","Strength",1.49475761419865
"395","graph 1",NA,"sde_7","Strength",0.854377416591607
"396","graph 1",NA,"sde_8","Strength",0.793567772447649
"397","graph 1",NA,"sde_9","Strength",1.15402246163785
"398","graph 1",NA,"sde_10","Strength",1.24028415913678
"399","graph 1",NA,"sde_11","Strength",1.03883500869226
"400","graph 1",NA,"sde_12","Strength",1.2096976796232
"401","graph 1",NA,"sde_13","Strength",1.31492215899757
"402","graph 1",NA,"sde_14","Strength",0.922338746662256
"403","graph 1",NA,"sde_15","Strength",1.01904530441944
"404","graph 1",NA,"sde_16","Strength",0.987398831578995
"405","graph 1",NA,"sde_17","Strength",1.21581900418952
"406","graph 1",NA,"sde_18","Strength",0.923190223828627
"407","graph 1",NA,"sde_19","Strength",0.887133333657083
"408","graph 1",NA,"sde_20","Strength",1.15644088808193
"409","graph 1",NA,"IM_1","Strength",1.21934098780359
"410","graph 1",NA,"IM_2","Strength",1.15517217717841
"411","graph 1",NA,"IM_3","Strength",1.11628300290551
"412","graph 1",NA,"IM_4","Strength",1.18590195771841
"413","graph 1",NA,"IM_5","Strength",1.0860524895483
"414","graph 1",NA,"IM_6","Strength",0.939192606085318
"415","graph 1",NA,"IM_7","Strength",1.10776812728777
"416","graph 1",NA,"IM_8","Strength",0.864676451375631
"417","graph 1",NA,"IM_9","Strength",0.969870512894024
"418","graph 1",NA,"IM_10","Strength",0.606219393478944
"419","graph 1",NA,"IM_11","Strength",0.719692265251378
"420","graph 1",NA,"IM_12","Strength",1.01841260738814
"421","graph 1",NA,"IM_13","Strength",0.492374875004791
"422","graph 1",NA,"IM_14","Strength",0.870698212069399
"423","graph 1",NA,"IM_15","Strength",1.29628363991008
"424","graph 1",NA,"IM_16","Strength",1.16143662877573
"425","graph 1",NA,"IM_17","Strength",0.98692774504975
"426","graph 1",NA,"IM_18","Strength",0.572852927948929
"427","graph 1",NA,"IM_19","Strength",1.17895075345562
"428","graph 1",NA,"IM_20","Strength",1.03801624266148
"429","graph 1",NA,"Ability","Strength",1.26433030500116
"430","graph 1",NA,"Physical","Strength",0.972930305499956
"431","graph 1",NA,"Material","Strength",0.998837577347031
"432","graph 1",NA,"Social","Strength",1.1427468899016
"433","graph 1",NA,"Moral","Strength",0.971436628330131
"434","graph 1",NA,"SES2","Strength",0.955347785449759
"435","graph 1",NA,"SES1","Strength",0.841852557345474
"436","graph 1",NA,"ability_IAT","Strength",0.394815661185002
"437","graph 1",NA,"moral_IAT","Strength",0.326427708349825
"438","graph 1",NA,"ability_ALT_rt_val","Strength",0.853530700899085
"439","graph 1",NA,"moral_ALT_rt_val","Strength",0.864623288922745
"440","graph 1",NA,"ability_ALT_rt_ref","Strength",0.953593403209152
"441","graph 1",NA,"moral_ALT_rt_ref","Strength",0.943183139188352
"442","graph 1",NA,"ability_SRET_EW","Strength",0.950919024063287
"443","graph 1",NA,"moral_SRET_EW","Strength",0.552142248762798
"444","graph 1",NA,"ability_ALT_d_val","Strength",0.74770117480872
"445","graph 1",NA,"moral_ALT_d_val","Strength",0.782345719329612
"446","graph 1",NA,"ability_ALT_d_ref","Strength",0.87913016313026
"447","graph 1",NA,"moral_ALT_d_ref","Strength",0.897864362888157
"448","graph 1",NA,"selfclarity_1","ExpectedInfluence",0.815346073861686
"449","graph 1",NA,"selfclarity_2","ExpectedInfluence",1.04712284500619
"450","graph 1",NA,"selfclarity_3","ExpectedInfluence",0.383455982936929
"451","graph 1",NA,"selfclarity_4","ExpectedInfluence",1.04759265884621
"452","graph 1",NA,"selfclarity_5","ExpectedInfluence",0.934921475087912
"453","graph 1",NA,"selfclarity_6","ExpectedInfluence",1.0129991980215
"454","graph 1",NA,"selfclarity_7","ExpectedInfluence",0.677256579346676
"455","graph 1",NA,"selfclarity_8","ExpectedInfluence",0.933308889417662
"456","graph 1",NA,"selfclarity_9","ExpectedInfluence",0.919301329944776
"457","graph 1",NA,"selfclarity_10","ExpectedInfluence",0.62610583377919
"458","graph 1",NA,"selfclarity_11","ExpectedInfluence",1.07735768745121
"459","graph 1",NA,"selfclarity_12","ExpectedInfluence",1.12940576746401
"460","graph 1",NA,"LOT_1","ExpectedInfluence",0.874722545017631
"461","graph 1",NA,"LOT_2","ExpectedInfluence",0.634083913994606
"462","graph 1",NA,"LOT_3","ExpectedInfluence",1.08477386004081
"463","graph 1",NA,"LOT_4","ExpectedInfluence",0.832069622921695
"464","graph 1",NA,"LOT_5","ExpectedInfluence",0.965283380214159
"465","graph 1",NA,"LOT_6","ExpectedInfluence",0.587850962272382
"466","graph 1",NA,"IPC_1","ExpectedInfluence",0.905411158383923
"467","graph 1",NA,"IPC_2","ExpectedInfluence",0.596593372616078
